period,item_id,display_order,level,unit,item,value,symbol
2025,NT_BS_IMPORTEXPORT_TAX,334,2,VNĐ,  - Thuế XNK,0.0,HPG
2025,NT_IS_EXPORT_DUTY,531,2,VNĐ,  - Thuế xuất khẩu,0.0,HPG
2025,NT_IS_GAINS_FROM_SALE_OF_FOREIGN_CURRENCY,545,2,VNĐ,  - Lãi bán ngoại tệ,0.0,HPG
2025,NT_IS_REALIZED_FOREIGN_EXCHANGE_GAINS,546,2,VNĐ,  - Lãi chênh lệch tỷ giá đã thực hiện,803469992194.0,HPG
2025,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_GAINS,547,2,VNĐ,  - Lãi chênh lệch tỷ giá chưa thực hiện,0.0,HPG
2025,NT_IS_LOSS_FROM_SALE_OF_FOREIGN_CURRENCY,567,2,VNĐ,  - Lỗ bán ngoại tệ,0.0,HPG
2025,NT_IS_REALIZED_FOREIGN_EXCHANGE_LOSSES,568,2,VNĐ,  - Lỗ chênh lệch tỷ giá đã thực hiện,1408387829353.0,HPG
2025,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_LOSSES,569,2,VNĐ,  - Lỗ chênh lệch tỷ giá chưa thực hiện,0.0,HPG
2024,NT_BS_IMPORTEXPORT_TAX,334,2,VNĐ,  - Thuế XNK,0.0,HPG
2024,NT_IS_EXPORT_DUTY,531,2,VNĐ,  - Thuế xuất khẩu,0.0,HPG
2024,NT_IS_GAINS_FROM_SALE_OF_FOREIGN_CURRENCY,545,2,VNĐ,  - Lãi bán ngoại tệ,0.0,HPG
2024,NT_IS_REALIZED_FOREIGN_EXCHANGE_GAINS,546,2,VNĐ,  - Lãi chênh lệch tỷ giá đã thực hiện,1319784428677.0,HPG
2024,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_GAINS,547,2,VNĐ,  - Lãi chênh lệch tỷ giá chưa thực hiện,5244865732.0,HPG
2024,NT_IS_LOSS_FROM_SALE_OF_FOREIGN_CURRENCY,567,2,VNĐ,  - Lỗ bán ngoại tệ,0.0,HPG
2024,NT_IS_REALIZED_FOREIGN_EXCHANGE_LOSSES,568,2,VNĐ,  - Lỗ chênh lệch tỷ giá đã thực hiện,1473187885929.0,HPG
2024,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_LOSSES,569,2,VNĐ,  - Lỗ chênh lệch tỷ giá chưa thực hiện,178715445710.0,HPG
2023,NT_BS_IMPORTEXPORT_TAX,334,2,VNĐ,  - Thuế XNK,28178566721.0,HPG
2023,NT_IS_EXPORT_DUTY,531,2,VNĐ,  - Thuế xuất khẩu,0.0,HPG
2023,NT_IS_GAINS_FROM_SALE_OF_FOREIGN_CURRENCY,545,2,VNĐ,  - Lãi bán ngoại tệ,0.0,HPG
2023,NT_IS_REALIZED_FOREIGN_EXCHANGE_GAINS,546,2,VNĐ,  - Lãi chênh lệch tỷ giá đã thực hiện,1207078334480.0,HPG
2023,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_GAINS,547,2,VNĐ,  - Lãi chênh lệch tỷ giá chưa thực hiện,3629798335.0,HPG
2023,NT_IS_LOSS_FROM_SALE_OF_FOREIGN_CURRENCY,567,2,VNĐ,  - Lỗ bán ngoại tệ,0.0,HPG
2023,NT_IS_REALIZED_FOREIGN_EXCHANGE_LOSSES,568,2,VNĐ,  - Lỗ chênh lệch tỷ giá đã thực hiện,1054356743299.0,HPG
2023,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_LOSSES,569,2,VNĐ,  - Lỗ chênh lệch tỷ giá chưa thực hiện,294873550913.0,HPG
2022,NT_BS_IMPORTEXPORT_TAX,334,2,VNĐ,  - Thuế XNK,0.0,HPG
2022,NT_IS_EXPORT_DUTY,531,2,VNĐ,  - Thuế xuất khẩu,0.0,HPG
2022,NT_IS_GAINS_FROM_SALE_OF_FOREIGN_CURRENCY,545,2,VNĐ,  - Lãi bán ngoại tệ,0.0,HPG
2022,NT_IS_REALIZED_FOREIGN_EXCHANGE_GAINS,546,2,VNĐ,  - Lãi chênh lệch tỷ giá đã thực hiện,1886624826804.0,HPG
2022,NT_IS_UNREALIZED_FOREIGN_EXCHANGE_GAINS,547,2,VNĐ,  - Lãi chênh lệch tỷ giá chưa thực hiện,11596235826.0,HPG
2022,NT_IS_LOSS_FROM_SALE_OF_FOREIGN_CURRENCY,567,2,VNĐ,  - Lỗ bán ngoại tệ,0.0,HPG
