group,event_q,term,beta,se,p,q_fdr_event
HighLiab_TopTercile,-8,lead_m8,-0.014278361249104633,0.003230732573042303,9.97197829333274e-06,6.035671072280342e-05
HighLiab_TopTercile,-7,lead_m7,-0.006163226113225189,,,1.0
HighLiab_TopTercile,-6,lead_m6,-0.0078096063514062584,0.0038811057070933705,0.04421843789652424,0.13038770148975098
HighLiab_TopTercile,-5,lead_m5,0.008898007981500838,0.00745821638303911,0.23287270030212381,0.5356072106948848
HighLiab_TopTercile,-4,lead_m4,-0.005556956884514376,0.007985208397125954,0.48650008430404057,0.9646122361200804
HighLiab_TopTercile,-3,lead_m3,-0.00727098781638866,,,1.0
HighLiab_TopTercile,-2,lead_m2,-0.007005460942969534,0.008368920667060171,0.4025628333805624,0.8417222879775396
HighLiab_TopTercile,0,lag_0,-0.02243618347077693,0.006128810619461752,0.00025246296229086695,0.0012097183609770708
HighLiab_TopTercile,1,lag_1,-0.02257350305442979,,,1.0
HighLiab_TopTercile,2,lag_2,-0.02063092005301889,0.004438209670138552,3.3771781284830382e-06,2.1576415820863854e-05
HighLiab_TopTercile,3,lag_3,-0.0024223608932277397,0.004690836453195046,0.6055820182094833,1.0
HighLiab_TopTercile,4,lag_4,-0.009818302004502443,,,1.0
HighLiab_TopTercile,5,lag_5,-0.011712262364866638,,,1.0
HighLiab_TopTercile,6,lag_6,0.0005405524624494239,0.005192008977610796,0.9170817823424098,1.0
HighLiab_TopTercile,7,lag_7,-0.02493460505258811,,,1.0
HighLiab_TopTercile,8,lag_8,-0.017885244808718212,0.004730785735069396,0.00015715351971046232,0.0007857675985523116
HighLiab_TopTercile,9,lag_9,-0.03182245523174029,0.004584902799878724,4.0887293550895265e-12,7.836731263921592e-11
HighLiab_TopTercile,10,lag_10,0.021413470935393388,0.0034289417752429332,4.37367697614377e-10,4.572480475059396e-09
HighLiab_TopTercile,11,lag_11,-0.01300199396572044,,,1.0
HighLiab_TopTercile,12,lag_12,-0.03769833162667926,0.002211678451746476,0.0,0.0
HighLiab_TopTercile,13,lag_13,0.0003713160978441576,0.0005121097363763851,0.4684214532798401,0.9450608267926598
HighLiab_TopTercile,14,lag_14,-0.008373579219736726,,,1.0
HighLiab_TopTercile,15,lag_15,-0.022728758466072727,,,1.0
