test,group,shock,n,firms,beta,se,p,r2_within,q_fdr_family
shock_interaction,HighLiab_TopTercile,AI_GPR,13473,567,-0.006276372605574174,0.0015963422172132742,8.478137410072861e-05,0.0016355264649701162,0.0005086882446043717
shock_interaction,HighLiab_TopTercile,Threat,13473,567,-0.0065111271294339915,0.002628103871650693,0.013243372510630458,0.0016816665090226834,0.019865058765945687
shock_interaction,HighLiab_TopTercile,Acts,13473,567,-0.005889746491737053,0.0007872093649343036,7.815970093361102e-14,0.001497393843074013,9.379164112033322e-13
shock_interaction,HighLiab_TopTercile,GPR_ORIG,13473,567,-0.0059346780177765976,0.0020857912034170246,0.004444120247984351,0.0015148632998808198,0.013332360743953053
DID_Post2022,HighLiab_TopTercile,Post2022,13473,567,-0.009722626045573425,0.0027461869351449804,0.00040091645166362433,,0.001202749354990873
shock_interaction,FragileLowMarginFunding,AI_GPR,13473,567,-0.0057447946083345235,0.0018799394722932986,0.0022489006105679277,0.001439672173357165,0.00899560244227171
shock_interaction,FragileLowMarginFunding,Threat,13473,567,-0.006231008897592698,0.002271275878758009,0.006089143817445741,0.0014940272005121713,0.01429530580743015
shock_interaction,FragileLowMarginFunding,Acts,13473,567,-0.004694578616983762,0.0017793027163438386,0.008338928387667588,0.001310500430787953,0.01429530580743015
shock_interaction,FragileLowMarginFunding,GPR_ORIG,13473,567,-0.005748415969874552,0.002162556195557075,0.00786661063825389,0.001397102607740952,0.01429530580743015
DID_Post2022,FragileLowMarginFunding,Post2022,13473,567,-0.010779345275489773,0.003793626730043887,0.0044981462086335355,,0.006747219312950303
shock_interaction,AssetCommitmentMismatch,AI_GPR,13473,567,-0.0014079101555441566,0.002616360001212198,0.5905049520611927,0.0011171266157170567,0.7086059424734312
shock_interaction,AssetCommitmentMismatch,Threat,13473,567,-0.0008930519713085684,0.002682674563207189,0.7392181114041456,0.0011083177464432659,0.8064197578954316
shock_interaction,AssetCommitmentMismatch,Acts,13473,567,-0.0014499517625022715,0.0024610547113530475,0.555765160700503,0.001112704472034598,0.7086059424734312
shock_interaction,AssetCommitmentMismatch,GPR_ORIG,13473,567,-0.0004386321147349161,0.002794052002011712,0.8752569130304497,0.0010990757946839347,0.8752569130304497
DID_Post2022,AssetCommitmentMismatch,Post2022,13473,567,2.6478710881513516e-05,0.004400913242847499,0.9951995379378993,,0.9951995379378994
