test,group,shock,n,firms,beta,se,p,r2_within,q_fdr_family
shock_interaction,HighLiab_TopTercile,AI_GPR,13473,567,-0.006276372605574173,0.0015963422172132736,8.478137410072861e-05,0.0016355264649700052,0.0008478137410072861
shock_interaction,HighLiab_TopTercile,Threat,13473,567,-0.0065111271294339915,0.0026281038716506914,0.013243372510630458,0.0016816665090226834,0.02037441924712378
shock_interaction,HighLiab_TopTercile,Acts,13473,567,-0.005889746491737056,0.0007872093649343041,7.815970093361102e-14,0.001497393843073458,1.5631940186722204e-12
shock_interaction,HighLiab_TopTercile,GPR_ORIG,13473,567,-0.005934678017776596,0.002085791203417025,0.004444120247984573,0.0015148632998810418,0.015143963405287453
DID_Post2022,HighLiab_TopTercile,Post2022,13473,567,-0.009722626045573425,0.0027461869351449782,0.00040091645166362433,,0.0020045822583181216
shock_interaction,CashConversionTrap,AI_GPR,13473,567,-0.005466582250666904,0.0020392304022936814,0.007356001478081575,0.0015656468170847093,0.015143963405287453
shock_interaction,CashConversionTrap,Threat,13473,567,-0.005173743164546198,0.0019387920268852043,0.007627723430361,0.0015487616816899363,0.015143963405287453
shock_interaction,CashConversionTrap,Acts,13473,567,-0.004826724058066944,0.0020669692303292805,0.01954982915810244,0.0014132148639206532,0.026066438877469917
shock_interaction,CashConversionTrap,GPR_ORIG,13473,567,-0.005593866911632939,0.002016007659339567,0.005532800771179014,0.0015041554600179197,0.015143963405287453
DID_Post2022,CashConversionTrap,Post2022,13473,567,-0.008557058610092804,0.004031041815690583,0.033790404552797026,,0.04223800569099628
shock_interaction,DoubleExposure_TopTercile,AI_GPR,13473,567,-0.007365400970372391,0.0028228770869411493,0.009086378043172472,0.001590674315800067,0.015143963405287453
shock_interaction,DoubleExposure_TopTercile,Threat,13473,567,-0.00673155004367586,0.0033595790688370317,0.04512434153338418,0.001536337989438863,0.05640542691673023
shock_interaction,DoubleExposure_TopTercile,Acts,13473,567,-0.007425256610309752,0.0025343603292411225,0.00339737529085693,0.0015342761157551843,0.015143963405287453
shock_interaction,DoubleExposure_TopTercile,GPR_ORIG,13473,567,-0.007304119265654766,0.0030774288980108338,0.017637430609640736,0.001532173231184486,0.025196329442343908
DID_Post2022,DoubleExposure_TopTercile,Post2022,13473,567,-0.011455430647134588,0.005066782358448844,0.02378276792079581,,0.039637946534659685
shock_interaction,FragileLowMarginFunding,AI_GPR,13473,567,-0.005744794608334522,0.0018799394722932967,0.0022489006105679277,0.0014396721733569429,0.014992670737119518
shock_interaction,FragileLowMarginFunding,Threat,13473,567,-0.006231008897592699,0.002271275878758011,0.006089143817445741,0.0014940272005119493,0.015143963405287453
shock_interaction,FragileLowMarginFunding,Acts,13473,567,-0.004694578616983762,0.0017793027163438375,0.008338928387667588,0.00131050043078762,0.015143963405287453
shock_interaction,FragileLowMarginFunding,GPR_ORIG,13473,567,-0.005748415969874552,0.002162556195557075,0.00786661063825389,0.001397102607740619,0.015143963405287453
DID_Post2022,FragileLowMarginFunding,Post2022,13473,567,-0.010779345275489773,0.003793626730043885,0.0044981462086335355,,0.011245365521583839
shock_interaction,AssetCommitmentMismatch,AI_GPR,13473,567,-0.001407910155544156,0.002616360001212197,0.5905049520611927,0.0011171266157167237,0.6561166134013252
shock_interaction,AssetCommitmentMismatch,Threat,13473,567,-0.0008930519713085663,0.0026826745632071887,0.7392181114041461,0.0011083177464432659,0.778124327793838
shock_interaction,AssetCommitmentMismatch,Acts,13473,567,-0.001449951762502272,0.0024610547113530453,0.5557651607005023,0.001112704472034154,0.6538413655300027
shock_interaction,AssetCommitmentMismatch,GPR_ORIG,13473,567,-0.0004386321147349134,0.00279405200201171,0.8752569130304506,0.0010990757946841567,0.8752569130304506
DID_Post2022,AssetCommitmentMismatch,Post2022,13473,567,2.6478710881513394e-05,0.004400913242847497,0.9951995379378993,,0.9951995379378993
