symbol,pre_quarters,liab_ratio,nwc_tied_ratio,fixed_ratio,operating_margin,HighLiab_TopTercile,CashConversionTrap,DoubleExposure_TopTercile,FragileLowMarginFunding,AssetCommitmentMismatch
AAA,8,0.43071607646428006,0.35131698024359803,0.2806665716129142,0.039493163628740086,0,0,0,0,0
AAM,8,0.06614431371157667,0.378569295666743,0.13128460601341008,0.05375985255420597,0,0,0,0,0
ACC,8,0.3727410423450286,0.37269360322984363,0.09641632798063948,0.11281956739389716,0,0,0,0,0
ACL,8,0.5560152698469938,0.5666816820752127,0.2647701557558855,0.13362026403413307,1,1,1,0,1
ADC,8,0.5490547984827933,0.05949209423996034,0.14200219343931142,0.03328166413386506,1,0,0,0,0
ADS,8,0.6565415238461432,0.4694682101929206,0.22608567376076338,0.008211771241474564,1,1,1,1,0
AGR,8,0.02708260583745195,0.024226630395018094,0.003966916503791485,,0,0,0,0,0
ALT,8,0.13449898299963087,0.25368715884375603,0.1726368118696282,0.047373900024082774,0,0,0,0,0
AMC,8,0.44523893322674096,0.1822846110963979,0.47320586947449583,0.07871373231328173,0,0,0,0,0
AME,7,0.6946415647352561,0.7026927027788242,0.01608648107283417,0.0030045318081567424,1,1,1,1,0
AMV,8,0.037595506342851234,0.3433997933933639,0.09549966431561463,0.4359178837098374,0,0,0,0,0
ANV,8,0.4640599155884241,0.41732508360597387,0.15860409784490767,0.15770829378734175,0,0,0,0,0
APG,8,0.015456280763888048,0.4457502828757097,0.0006806744499947029,,0,1,0,0,0
API,8,0.595493300524921,0.6148467337397392,0.022596618557769108,0.0904765676250752,1,1,1,0,0
APS,8,0.037497641447868865,0.052394750628115515,0.0022680809159604815,,0,0,0,0,0
ARM,8,0.6719835465209945,0.6098146102783524,0.04345394768552989,0.04027421728408066,1,1,1,0,0
ASM,8,0.43913048005372024,0.40480342536263,0.21506676683668768,0.04744366639076524,0,0,0,0,0
ASP,8,0.5039460497022978,0.05924105021642105,0.06012796623103954,0.01875172021816961,1,0,0,1,0
AST,8,0.18384809044134875,0.0825886173460479,0.20478958199179692,0.23827385145644214,0,0,0,0,0
ATS,8,0.31526756431729946,0.4624041103782139,0.034426839709434345,0.031992325138255166,0,1,0,0,0
