spec,shock,exposure,n,firms,beta,se,p,r2_within,q_fdr_family
continuous_main,Threat,liab_exp,7749,325,-0.00032276391532267795,0.0016126139716553071,0.8413691454194159,0.00507728927556117,0.8413691454194159
continuous_excl_2022H1,Threat,liab_exp,7101,325,-0.0005441797541607748,0.0016735847027971604,0.7450714332174733,0.005451606834396383,0.7450714332174733
continuous_winsor_1_99,Threat,liab_exp,7749,325,-0.0007926788012001588,0.0013723184917162057,0.5635381843749574,0.003501523213394475,0.5635381843749574
lag1,Threat,liab_exp,7425,325,-0.0009047593124444705,0.0015537745558777429,0.56038474593552,0.005429682307250494,0.660870153776129
lead1_placebo,Threat,liab_exp,7429,325,5.0803550345896555e-05,0.0015744196740176308,0.974259148612207,0.0052293401998196876,0.9851712642208916
continuous_main,Acts,liab_exp,7749,325,-0.0013686706608030436,0.001225802741146566,0.26422282977391953,0.005301397964578625,0.5284456595478391
continuous_excl_2022H1,Acts,liab_exp,7101,325,-0.0007553310540772234,0.001256154727031673,0.5476576103228472,0.0054559885287699394,0.7450714332174733
continuous_winsor_1_99,Acts,liab_exp,7749,325,-0.001364910926288972,0.0010067931873387335,0.17523557849214288,0.0037035771601023892,0.35047115698428577
lag1,Acts,liab_exp,7425,325,-0.0008326978956372643,0.0018979708941007358,0.660870153776129,0.005443688295255211,0.660870153776129
lead1_placebo,Acts,liab_exp,7429,325,1.7235187915606138e-05,0.0009272815338707258,0.9851712642208916,0.005228775336137748,0.9851712642208916
binary_threshold,Threat,high50,7749,325,0.0002290979309727268,0.0021256265756643307,0.9141739150634236,0.005045296332146121,0.9786914496857477
binary_threshold,Threat,high33,7749,325,-7.448964168893023e-05,0.0027887894120738332,0.9786914496857477,0.005046733289208349,0.9786914496857477
binary_threshold,Threat,high25,7749,325,0.0002579727370131437,0.0028474613802526296,0.9278149117333894,0.005044079547498526,0.9786914496857477
binary_threshold,Acts,high50,7749,325,-0.001805736436146671,0.0018372610261803005,0.3257175796275509,0.0049129915842650584,0.9329626691634871
binary_threshold,Acts,high33,7749,325,-0.0012701806732092727,0.0017441458012676665,0.46648133458174357,0.005022571396901543,0.9329626691634871
binary_threshold,Acts,high25,7749,325,-0.001652014426143819,0.0018826326935336621,0.38024239194636333,0.005051165699222482,0.9329626691634871
joint_threat_acts,Threat,liab_exp,7749,325,0.0017769375523856662,0.0031398445544616365,0.5714573813010841,0.005381685067400999,0.5714573813010841
joint_threat_acts,Acts,liab_exp,7749,325,-0.002735022824431437,0.0026272792080044823,0.2979051254842362,0.005381685067400999,0.5714573813010841
