symbol,pre_quarters,liab_raw,liab_clip,liab_exp_rederived,HighLiab_rederived
AAA,8,0.43071607646428006,0.43071607646428006,0.27053733074416525,0
AAM,8,0.06614431371157667,0.06614431371157667,-1.4683927590443693,0
ACC,8,0.3727410423450286,0.3727410423450286,-0.0059913025358288245,0
ACL,8,0.5560152698469938,0.5560152698469938,0.868187944039826,1
ADC,8,0.5490547984827933,0.5490547984827933,0.8349879699032389,1
ADS,8,0.6565415238461432,0.6565415238461432,1.3476768835368267,1
AGR,8,0.02708260583745195,0.02708260583745195,-1.6547088320939445,0
ALT,8,0.13449898299963087,0.13449898299963087,-1.1423554644797609,0
AMC,8,0.44523893322674096,0.44523893322674096,0.33980828147071024,0
AME,7,0.6946415647352561,0.6946415647352561,1.5294060087548784,1
AMV,8,0.037595506342851234,0.037595506342851234,-1.6045645233801828,0
ANV,8,0.4640599155884241,0.4640599155884241,0.4295803809361051,0
APG,8,0.015456280763888048,0.023382459780263654,-1.672357745073038,0
API,8,0.595493300524921,0.595493300524921,1.0564897886838087,1
APS,8,0.037497641447868865,0.037497641447868865,-1.605031318200862,0
ARM,8,0.6719835465209945,0.6719835465209945,1.4213320609804796,1
ASM,8,0.43913048005372024,0.43913048005372024,0.310672253643357,0
ASP,8,0.5039460497022978,0.5039460497022978,0.6198287925307349,1
AST,8,0.18384809044134875,0.18384809044134875,-0.906970674427273,0
ATS,8,0.31526756431729946,0.31526756431729946,-0.28012761949192655,0
BAX,8,0.15886006461243646,0.15886006461243646,-1.0261582650136107,0
BBS,8,0.6749548527197737,0.6749548527197737,1.4355045622077272,1
BCC,8,0.5755108053964973,0.5755108053964973,0.96117751933661,1
BCE,8,0.674246764225436,0.674246764225436,1.4321271300672345,1
BED,8,0.3023834995404785,0.3023834995404785,-0.3415818795531919,0
BFC,8,0.6339560637490677,0.6339560637490677,1.23994902261315,1
BHN,8,0.3989428911067547,0.3989428911067547,0.11898596634486729,0
BIC,8,0.5884932504115199,0.5884932504115199,1.0231010322965575,1
BKC,8,0.5382551489351107,0.5382551489351107,0.7834759289929969,1
BMC,8,0.14046253490335453,0.14046253490335453,-1.1139105850159745,0
BMI,8,0.600173156851447,0.600173156851447,1.0788117121389817,1
BMP,8,0.115702597811319,0.115702597811319,-1.2320102406380073,0
BPC,8,0.5735069092122695,0.5735069092122695,0.9516193589753813,1
BRC,8,0.23809340930234507,0.23809340930234507,-0.6482319929525225,0
BTP,8,0.16847928837058918,0.16847928837058918,-0.9802766050979828,0
BTS,8,0.5838987087474092,0.5838987087474092,1.0011860417109353,1
BTT,8,0.12790454835517406,0.12790454835517406,-1.1738095209919992,0
BTW,8,0.25226706052715014,0.25226706052715014,-0.5806266786767149,0
BVH,8,0.21038166737618097,0.21038166737618097,-0.7804111324229281,0
BVS,8,0.23723738010240725,0.23723738010240725,-0.6523150709239759,0
BWE,8,0.12299104106494661,0.12299104106494661,-1.1972459100553166,0
BXH,8,0.5836248313858745,0.5836248313858745,0.9998797047053245,1
C32,8,0.3392913893191281,0.3392913893191281,-0.16553906262711174,0
C47,8,0.5782142408052868,0.5782142408052868,0.9740723336322872,1
C69,8,0.6182443191710421,0.6182443191710421,1.1650073288201137,1
CAG,8,0.038680240494708876,0.038680240494708876,-1.5993905712291876,0
CAN,8,0.5154081158527328,0.5154081158527328,0.674500420332195,1
CAP,8,0.38378179341103824,0.38378179341103824,0.046670741550048925,0
CCI,8,0.03843954582681422,0.03843954582681422,-1.6005386338144336,0
CCL,8,0.2914664865926475,0.2914664865926475,-0.393653719023852,0
CDC,8,0.5138238436070008,0.5138238436070008,0.66694377727866,1
CDN,8,0.09336604099225324,0.09336604099225324,-1.338550885644823,0
CEO,8,0.5371590245796514,0.5371590245796514,0.7782476479833366,1
CET,8,0.2853455871695684,0.2853455871695684,-0.42284911282779125,0
CHP,8,0.0999269396495144,0.0999269396495144,-1.3072567886883792,0
CIA,8,0.14048085860640908,0.14048085860640908,-1.1138231848334772,0
CIG,8,0.5527999223666997,0.5527999223666997,0.8528514175891975,1
CII,8,0.26696991948587534,0.26696991948587534,-0.5104971555995617,0
CJC,8,0.6013434954730924,0.6013434954730924,1.0843939794793114,1
CKV,8,0.5360596291208337,0.5360596291208337,0.773003764503497,1
CLC,8,0.3719951866556508,0.3719951866556508,-0.009548876197338076,0
CLH,8,0.4846478076328088,0.4846478076328088,0.5277802653456475,1
CLL,8,0.09368249529652024,0.09368249529652024,-1.3370414656404377,0
CLM,8,0.827747626182251,0.827747626182251,2.1642937291744837,1
CLW,8,0.40308558802796224,0.40308558802796224,0.13874575321033736,0
CMC,8,0.4184067201882159,0.4184067201882159,0.2118243085047143,0
CMG,8,0.4741547857263537,0.4741547857263537,0.47773077333843994,1
CMS,8,0.4481897135511911,0.4481897135511911,0.3538828786249141,0
CMV,8,0.7175587356109694,0.7175587356109694,1.6387160598342743,1
CMX,8,0.8247840146987742,0.8247840146987742,2.150157930109441,1
CNG,8,0.3570257225683625,0.3570257225683625,-0.0809500492691311,0
COM,8,0.11108589343092158,0.11108589343092158,-1.2540309426861178,0
CPC,8,0.4241705690501887,0.4241705690501887,0.2393166467576816,0
CRC,8,0.4321875213775827,0.4321875213775827,0.2775558113195353,0
CRE,7,0.3319635323364616,0.3319635323364616,-0.2004913883492479,0
CSC,8,0.4670224068033034,0.4670224068033034,0.44371083655721777,0
CSM,8,0.5402645462111242,0.5402645462111242,0.793060328396878,1
CSV,8,0.200074898911769,0.200074898911769,-0.8295722349612148,0
CTB,8,0.5663598791126903,0.5663598791126903,0.9175295391853252,1
CTD,8,0.472708562579954,0.472708562579954,0.4708325952490714,1
CTF,8,0.6535062371913412,0.6535062371913412,1.3331992090858047,1
CTI,8,0.1406934313578969,0.1406934313578969,-1.1128092578330968,0
CTP,8,0.2473246334000282,0.2473246334000282,-0.6042010092366199,0
CTS,8,0.38787682661052986,0.38787682661052986,0.0662031825584034,0
CTT,8,0.8573137113231379,0.8573137113231379,2.3053176930178183,1
CVT,8,0.43318232351479175,0.43318232351479175,0.2823008068088106,0
CX8,8,0.7214990084010309,0.7214990084010309,1.6575103264688535,1
D11,8,0.6382830942634534,0.6382830942634534,1.2605880416750912,1
D2D,8,0.3169579558753148,0.3169579558753148,-0.2720648097955232,0
DAD,8,0.2748729851642504,0.2748729851642504,-0.4728012062316357,0
DAE,8,0.22088229170801424,0.22088229170801424,-0.7303253784569071,0
DAH,8,0.18628451359112091,0.18628451359112091,-0.8953494520522695,0
DAT,8,0.4885717812932703,0.4885717812932703,0.5464967885842907,1
DBC,8,0.4863196904350907,0.4863196904350907,0.5357547921974708,1
DBD,8,0.32466442884107727,0.32466442884107727,-0.23530656602721342,0
DC2,8,0.6864443833953122,0.6864443833953122,1.4903071899767757,1
DCL,8,0.19405278750717503,0.19405278750717503,-0.85829643084089,0
DCM,8,0.2866521537111427,0.2866521537111427,-0.41661706716331215,0
DGW,8,0.5605797820266923,0.5605797820266923,0.8899597003452318,1
DHA,8,0.06678648853240682,0.06678648853240682,-1.4653297211655865,0
DHC,8,0.2326211459948664,0.2326211459948664,-0.6743335298701668,0
DHG,8,0.26958344837497505,0.26958344837497505,-0.4980311763600508,0
DHM,8,0.3835691318866807,0.3835691318866807,0.04565639112188232,0
DHP,8,0.22956479629814625,0.22956479629814625,-0.6889116705698565,0
DHT,8,0.5454777695325161,0.5454777695325161,0.8179262994471512,1
DIG,8,0.4008293774442785,0.4008293774442785,0.12798410660544562,0
DIH,8,0.7220507320912306,0.7220507320912306,1.6601419316126351,1
DL1,8,0.13527344958125692,0.13527344958125692,-1.1386614229221903,0
DLG,8,0.2794849705214534,0.2794849705214534,-0.45080301292464486,0
DMC,8,0.18515065861033364,0.18515065861033364,-0.9007577001531654,0
DNC,8,0.3621144521153573,0.3621144521153573,-0.056677887154185154,0
DNP,8,0.27131919005078287,0.27131919005078287,-0.48975205620721113,0
DP3,8,0.2153714328720494,0.2153714328720494,-0.7566110078706602,0
DPG,8,0.35176572481450274,0.35176572481450274,-0.10603912445516327,0
DPM,8,0.16092901135667426,0.16092901135667426,-1.016289827259243,0
DPR,8,0.11105760633074406,0.11105760633074406,-1.2541658661625825,0
DQC,8,0.308624706675913,0.308624706675913,-0.3118126434432307,0
DRC,8,0.3575026545715642,0.3575026545715642,-0.07867518463099091,0
DRH,8,0.630237114930428,0.630237114930428,1.222210424444474,1
DRL,8,0.06588750788843278,0.06588750788843278,-1.4696176684277125,0
DS3,8,0.11770826404613136,0.11770826404613136,-1.222443637510398,0
DSN,8,0.10491830458682541,0.10491830458682541,-1.2834490351392018,0
DST,8,0.104288465031074,0.104288465031074,-1.2864532364162442,0
DTA,8,0.3105286014044411,0.3105286014044411,-0.3027314688447662,0
DTD,8,0.43633189564433766,0.43633189564433766,0.2973235987679943,0
DTL,8,0.5866428178823352,0.5866428178823352,1.014274861065338,1
DTT,8,0.268266991526393,0.268266991526393,-0.504310396694129,0
DVP,8,0.08234051157981703,0.08234051157981703,-1.3911403256671953,0
DXG,8,0.3969767956889141,0.3969767956889141,0.10960810763287075,0
DXP,8,0.05788681899710744,0.05788681899710744,-1.5077792598442143,0
DXV,8,0.25769455490986526,0.25769455490986526,-0.5547386800478591,0
EBS,8,0.24707769565809268,0.24707769565809268,-0.6053788499627196,0
ECI,8,0.306539122481825,0.306539122481825,-0.32176043830946954,0
EID,8,0.45964379796459803,0.45964379796459803,0.4085164352313315,0
ELC,8,0.15556683238424057,0.15556683238424057,-1.0418662852152623,0
EVE,8,0.16521201437287686,0.16521201437287686,-0.9958608100383406,0
EVG,8,0.14142680779113398,0.14142680779113398,-1.1093112075801954,0
EVS,8,0.34685687705021573,0.34685687705021573,-0.12945328856666116,0
FCM,8,0.42643027113110243,0.42643027113110243,0.25009494706483987,0
FCN,8,0.4610194414546522,0.4610194414546522,0.4150779633091369,0
