shock,exposure,spec,n,firms,beta,se,p,r2_within,q_fdr_family
Threat,continuous,main,13471,567,-0.0033829808485400462,0.0011021057150779887,0.0021481951346000727,0.0037080094818563447,0.0021481951346000727
Threat,continuous,exclude_2022H1,12347,567,-0.0031819842198335226,0.0011233701422829257,0.004625918603322621,0.003601149185345265,0.004625918603322621
Threat,continuous,winsor_1_99,13471,567,-0.002532243796439017,0.0008348736366692751,0.0024254837440325083,0.0026469437282784503,0.0024254837440325083
Threat,top_tercile,main,13471,567,-0.005918443765381175,0.0026070705349847474,0.023214873489774357,0.003842500622338152,0.023214873489774357
Threat,top_tercile,exclude_2022H1,12347,567,-0.005721064863949602,0.002725718601485394,0.035845240831776204,0.0035854875687345578,0.035845240831776204
Threat,top_tercile,winsor_1_99,13471,567,-0.0041180641873016935,0.0019301563857807126,0.032899368107610405,0.0027901543502939496,0.032899368107610405
Threat,continuous,joint_threat_acts,13471,567,-0.002339208725101098,0.0016186901000416313,0.14844725142065274,0.0037800405318371144,0.24688954357074278
Acts,continuous,main,13471,567,-0.0031568934856706144,0.0008232195028835674,0.00012625818687173052,0.0035743425307114274,0.00025251637374346103
Acts,continuous,exclude_2022H1,12347,567,-0.0026508988020621216,0.0008803967655758055,0.002609183478483379,0.003152736855208782,0.004625918603322621
Acts,continuous,winsor_1_99,13471,567,-0.0025384225253848253,0.0007286962284000216,0.0004965236591223388,0.0026831387180080712,0.0009930473182446775
Acts,top_tercile,main,13471,567,-0.00591175269266051,0.0007104272235931463,0.0,0.0034537775652948577,0.0
Acts,top_tercile,exclude_2022H1,12347,567,-0.005521265613681112,0.00116385494402336,2.1206032994047774e-06,0.0027919658502686406,4.241206598809555e-06
Acts,top_tercile,winsor_1_99,13471,567,-0.004228459392967107,0.0002253959127744196,0.0,0.0025089067767773976,0.0
Acts,continuous,joint_threat_acts,13471,567,-0.0013533864909057852,0.0011687375073115324,0.24688954357074278,0.0037800405318371144,0.24688954357074278
