rel_q,term,beta,se,p
-7,evt_m7,-0.008903748562830282,,
-6,evt_m6,-0.0098760726324868,,
-5,evt_m5,0.008667348052748896,0.0029413207464822943,0.0032213321057810163
-4,evt_m4,-0.018756920658615873,0.0029820077159280426,3.355085098633026e-10
-3,evt_m3,-0.003913192657807542,0.00413084363309701,0.3435114573322471
-2,evt_m2,-0.016196869954262758,0.00714731522159895,0.02347118777837176
0,evt_p0,0.0066099388251198024,0.0034515050805274143,0.055519782557984954
1,evt_p1,-0.03011381587072419,0.0030903314744192686,0.0
2,evt_p2,-0.0112678329489219,0.0026897904582405363,2.8330979524593403e-05
3,evt_p3,0.01104356024106295,,
4,evt_p4,-0.006969007528808999,,
5,evt_p5,-0.0077409087379179545,,
6,evt_p6,0.00011610814447510475,,
7,evt_p7,-0.005534920719132685,,
8,evt_p8,0.008100116644384911,,
9,evt_p9,-0.01864665144927554,0.0031499246608194605,3.3694362855385407e-09
10,evt_p10,-0.015663526005382466,0.0034581426907865595,6.0063408198196555e-06
11,evt_p11,-0.012664634331470179,0.005492987996154993,0.02116057112322145
12,evt_p12,-0.004349387435789518,0.006466654292816593,0.5012311464015915
