family,spec,n,firms,beta,se,p,r2_within,cov,controls,q_fdr_family
acts_locked,Acts_locked_FE_only,7749,325,-0.0018729195376349208,0.002138675514408742,0.3812008760927468,0.0003317794709932764,twoway,none,0.7300721358310363
acts_locked,Acts_locked_plus_size,7749,325,-0.0007120806507383662,0.002063746924332597,0.7300721358310363,0.0030576061200910942,twoway,log_assets,0.7300721358310363
acts_locked,Acts_locked_plus_size_leverage,7749,325,-0.0010881784171594966,0.002044846218283231,0.5946335174633814,0.00497744342441675,twoway,log_assets+leverage,0.7300721358310363
se_sensitivity,Acts_locked_SE_twoway,7749,325,-0.0007120806507383662,0.002063746924332597,0.7300721358310363,0.0030576061200910942,twoway,log_assets,0.7300721358310363
se_sensitivity,Acts_locked_SE_entity,7749,325,-0.0007120806507383662,0.0016966095175150134,0.6747109388232848,0.0030576061200910942,entity,log_assets,0.7300721358310363
se_sensitivity,Acts_locked_SE_dk,7749,325,-0.0007120806507383662,0.0011759372223845515,0.5448367807818841,0.0030576061200910942,dk,log_assets,0.7300721358310363
se_sensitivity,Acts_locked_SE_robust,7749,325,-0.0007120806507383662,0.001953875989110485,0.7155360314648034,0.0030576061200910942,robust,log_assets,0.7300721358310363
exposure_form,Acts_continuous_lockedsample,7749,325,-0.0011551793234965604,0.0012161011508951055,0.3421920698443206,0.003347594903562623,twoway,log_assets,0.3421920698443206
threat_diag,Threat_locked_highliab,7749,325,0.0005265230091567134,0.002335216249638984,0.8216192881398814,0.0032554692825630394,twoway,log_assets,0.8216192881398814
joint,joint_Acts_mean_z,7749,325,-0.0027398301373721206,0.004240498994907732,0.5182279573693729,0.0030313078893356993,twoway,log_assets,0.5733241547155452
joint,joint_Threat_mean_z,7749,325,0.0026352828504401264,0.004679226684059781,0.5733241547155452,0.0030313078893356993,twoway,log_assets,0.5733241547155452
robust,Acts_locked_winsor,7749,325,-0.0009543123311825618,0.0016575208656595083,0.5648038484197602,0.0020483535084263593,twoway,log_assets,0.8828602804929173
robust,Acts_locked_excl2022H1,7101,325,-0.0002627346968868382,0.0017830671985107301,0.8828602804929173,0.0030590349973038666,twoway,log_assets,0.8828602804929173
reconstructed,Acts_reconstructed_pre2022_highliab,13735,578,-0.0028309975194762134,0.0014978999228490914,0.058782938788725314,0.0019068087463720573,twoway,log_assets,0.058782938788725314
did,DID_Post2022_locked,7749,325,0.0010160295280884015,0.0036714897213656556,0.7819913625464516,0.0033816837794685695,twoway,log_assets,0.9854415797899412
did,DID_Post2022_locked_plus_leverage,7749,325,6.866663218974341e-05,0.003762987514766678,0.9854415797899412,0.005053997650839248,twoway,log_assets+leverage,0.9854415797899412
did_se,DID_Post2022_locked_SE_twoway,7749,325,0.0010160295280884015,0.0036714897213656556,0.7819913625464516,0.0033816837794685695,twoway,log_assets,0.7819913625464516
did_se,DID_Post2022_locked_SE_entity,7749,325,0.0010160295280884015,0.0036291876454046337,0.7795155641551559,0.0033816837794685695,entity,log_assets,0.7819913625464516
did_se,DID_Post2022_locked_SE_dk,7749,325,0.0010160295280884015,0.002018490581286327,0.6147254390030206,0.0033816837794685695,dk,log_assets,0.7819913625464516
did_cutoff,DID_Post_2022Q2_sensitivity,7749,325,-0.0014193541633239048,0.004086465215809551,0.7283528898451159,0.0027674139328199843,twoway,log_assets,0.7283528898451159
did_cutoff,DID_Post_2022Q3_sensitivity,7749,325,0.0026990273537673783,0.004167842671335267,0.517274276311672,0.003939960324892744,twoway,log_assets,0.7283528898451159
did_reconstructed,DID_Post2022_reconstructed,13735,578,-0.004856388896624122,0.0029224545754998744,0.09658677966123608,0.0015196805452403206,twoway,log_assets,0.09658677966123608
placebo,PLACEBO_fake_Post2021_locked,2584,325,-0.004128448497836556,0.003910344294308932,0.2911838155785269,0.009973854889066658,twoway,log_assets,0.2911838155785269
shock_did,ShockDID_HighActsQ_locked,7749,325,-0.0035123259914074446,0.008703656290825318,0.6865582370796444,0.003441465694833279,twoway,log_assets,0.6865582370796444
