definition,shock,n,firms,cut,beta,se,p
median_2017_2019,Threat_z,13473,567,0.4721168508083521,-0.0065111271294339915,0.002628103871650693,0.013243372510630458
median_2017_2019,Acts_z,13473,567,0.4721168508083521,-0.005889746491737053,0.0007872093649343036,7.815970093361102e-14
median_2018_2019,Threat_z,13473,567,0.4721168508083521,-0.0065111271294339915,0.002628103871650693,0.013243372510630458
median_2018_2019,Acts_z,13473,567,0.4721168508083521,-0.005889746491737053,0.0007872093649343036,7.815970093361102e-14
median_2019,Threat_z,13473,567,0.4670369270114017,-0.006682518860250735,0.002382962024584845,0.005050287078725013
median_2019,Acts_z,13473,567,0.4670369270114017,-0.005912357190462975,0.0015781836721731383,0.00018024133278982113
mean_2017_2019,Threat_z,13473,567,0.4669977722640147,-0.006178875595922146,0.002366978821826202,0.009052836592419844
mean_2017_2019,Acts_z,13473,567,0.4669977722640147,-0.005886064928832807,0.0008824464996076616,2.65951705102907e-11
snapshot_2019Q4,Threat_z,13473,567,0.46376720363954627,-0.005696474064712151,0.0022931965627040083,0.013001429353670657
snapshot_2019Q4,Acts_z,13473,567,0.46376720363954627,-0.005375080822936727,0.00200377927358679,0.007317363393314791
continuous_median_2017_2019,Threat_z,13473,567,,-0.00395863364090795,0.0012229641150532464,0.0012113399185476048
continuous_median_2017_2019,Acts_z,13473,567,,-0.0031258268433273823,0.0008098084519720188,0.0001139601405315549
