model,term,beta,se,p,n
Threat,Threat_z_x_HL,-0.011436776537792607,0.0033647173898356674,0.0006784991642103666,12343
Threat,Threat_z_lag1_x_HL,0.006990461323127645,0.004782532896643149,0.14385975327443834,12343
Threat,Threat_z_lag2_x_HL,-0.0016811406336218729,0.003776420292259976,0.6562067106765872,12343
Acts,Acts_z_x_HL,-0.0060870619820243424,0.000972934195002806,4.0767011988407376e-10,12343
Acts,Acts_z_lag1_x_HL,-0.0003538708984622768,0.0011538422341590996,0.7590854205835789,12343
Acts,Acts_z_lag2_x_HL,-0.000871883305110368,0.0015437502094830858,0.5722324040943434,12343
Joint,Threat_z_x_HL,-0.016207906909697842,0.004300999699229609,0.00016509783432749892,12343
Joint,Threat_z_lag1_x_HL,0.01923163207849819,0.005112338386193391,0.0001695095977332084,12343
Joint,Threat_z_lag2_x_HL,-0.0079715318697181,0.003363142187640365,0.017791484662003088,12343
Joint,Acts_z_x_HL,0.0014705460315409113,0.0016627464350554503,0.3764941774896384,12343
Joint,Acts_z_lag1_x_HL,-0.012020647888156311,0.003098886307707816,0.00010544946127932775,12343
Joint,Acts_z_lag2_x_HL,0.007489458159046716,0.0028363019552903033,0.008287579081447172,12343
