symbol,pre_quarters,baseline_liab_ratio,HL67
AAA,8,0.43071607646428006,0
AAM,8,0.06614431371157667,0
ACC,8,0.3727410423450286,0
ACL,8,0.5560152698469938,1
ADC,8,0.5490547984827933,1
ADS,8,0.6565415238461432,1
AGR,8,0.02708260583745195,0
ALT,8,0.13449898299963087,0
AMC,8,0.44523893322674096,0
AME,7,0.6946415647352561,1
AMV,8,0.037595506342851234,0
ANV,8,0.4640599155884241,0
APG,8,0.015456280763888048,0
API,8,0.595493300524921,1
APS,8,0.037497641447868865,0
ARM,8,0.6719835465209945,1
ASM,8,0.43913048005372024,0
ASP,8,0.5039460497022978,1
AST,8,0.18384809044134875,0
ATS,8,0.31526756431729946,0
BAX,8,0.15886006461243646,0
BBS,8,0.6749548527197737,1
BCC,8,0.5755108053964973,1
BCE,8,0.674246764225436,1
BED,8,0.3023834995404785,0
BFC,8,0.6339560637490677,1
BHN,8,0.3989428911067547,0
BIC,8,0.5884932504115199,1
BKC,8,0.5382551489351107,1
BMC,8,0.14046253490335453,0
BMI,8,0.600173156851447,1
BMP,8,0.115702597811319,0
BPC,8,0.5735069092122695,1
BRC,8,0.23809340930234507,0
BTP,8,0.16847928837058918,0
BTS,8,0.5838987087474092,1
BTT,8,0.12790454835517406,0
BTW,8,0.25226706052715014,0
BVH,8,0.21038166737618097,0
BVS,8,0.23723738010240725,0
BWE,8,0.12299104106494661,0
BXH,8,0.5836248313858745,1
C32,8,0.3392913893191281,0
C47,8,0.5782142408052868,1
C69,8,0.6182443191710421,1
CAG,8,0.038680240494708876,0
CAN,8,0.5154081158527328,1
CAP,8,0.38378179341103824,0
CCI,8,0.03843954582681422,0
CCL,8,0.2914664865926475,0
CDC,8,0.5138238436070008,1
CDN,8,0.09336604099225324,0
CEO,8,0.5371590245796514,1
CET,8,0.2853455871695684,0
CHP,8,0.0999269396495144,0
CIA,8,0.14048085860640908,0
CIG,8,0.5527999223666997,1
CII,8,0.26696991948587534,0
CJC,8,0.6013434954730924,1
CKV,8,0.5360596291208337,1
CLC,8,0.3719951866556508,0
CLH,8,0.4846478076328088,1
CLL,8,0.09368249529652024,0
CLM,8,0.827747626182251,1
CLW,8,0.40308558802796224,0
CMC,8,0.4184067201882159,0
CMG,8,0.4741547857263537,1
CMS,8,0.4481897135511911,0
CMV,8,0.7175587356109694,1
CMX,8,0.8247840146987742,1
CNG,8,0.3570257225683625,0
COM,8,0.11108589343092158,0
CPC,8,0.4241705690501887,0
CRC,8,0.4321875213775827,0
CRE,7,0.3319635323364616,0
CSC,8,0.4670224068033034,0
CSM,8,0.5402645462111242,1
CSV,8,0.200074898911769,0
CTB,8,0.5663598791126903,1
CTD,8,0.472708562579954,1
CTF,8,0.6535062371913412,1
CTI,8,0.1406934313578969,0
CTP,8,0.2473246334000282,0
CTS,8,0.38787682661052986,0
CTT,8,0.8573137113231379,1
CVT,8,0.43318232351479175,0
CX8,8,0.7214990084010309,1
D11,8,0.6382830942634534,1
D2D,8,0.3169579558753148,0
DAD,8,0.2748729851642504,0
DAE,8,0.22088229170801424,0
DAH,8,0.18628451359112091,0
DAT,8,0.4885717812932703,1
DBC,8,0.4863196904350907,1
DBD,8,0.32466442884107727,0
DC2,8,0.6864443833953122,1
DCL,8,0.19405278750717503,0
DCM,8,0.2866521537111427,0
DGW,8,0.5605797820266923,1
DHA,8,0.06678648853240682,0
DHC,8,0.2326211459948664,0
DHG,8,0.26958344837497505,0
DHM,8,0.3835691318866807,0
DHP,8,0.22956479629814625,0
DHT,8,0.5454777695325161,1
DIG,8,0.4008293774442785,0
DIH,8,0.7220507320912306,1
DL1,8,0.13527344958125692,0
DLG,8,0.2794849705214534,0
DMC,8,0.18515065861033364,0
DNC,8,0.3621144521153573,0
DNP,8,0.27131919005078287,0
DP3,8,0.2153714328720494,0
DPG,8,0.35176572481450274,0
DPM,8,0.16092901135667426,0
DPR,8,0.11105760633074406,0
DQC,8,0.308624706675913,0
DRC,8,0.3575026545715642,0
DRH,8,0.630237114930428,1
DRL,8,0.06588750788843278,0
DS3,8,0.11770826404613136,0
DSN,8,0.10491830458682541,0
DST,8,0.104288465031074,0
DTA,8,0.3105286014044411,0
DTD,8,0.43633189564433766,0
DTL,8,0.5866428178823352,1
DTT,8,0.268266991526393,0
DVP,8,0.08234051157981703,0
DXG,8,0.3969767956889141,0
DXP,8,0.05788681899710744,0
DXV,8,0.25769455490986526,0
EBS,8,0.24707769565809268,0
ECI,8,0.306539122481825,0
EID,8,0.45964379796459803,0
ELC,8,0.15556683238424057,0
EVE,8,0.16521201437287686,0
EVG,8,0.14142680779113398,0
EVS,8,0.34685687705021573,0
FCM,8,0.42643027113110243,0
