Date,THREATS_GPR_AI,ACTS_GPR_AI,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea
2020-01-01,111.17,102.04,92.36,126.94,0.0,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-02,95.64,141.43,114.74,65.97,114.47,114.76,114.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-03,112.53,137.05,106.98,73.07,190.17,101.54,95.08,0.0,0.0,0.0,95.08,0.0,0.0,0.0
2020-01-04,435.75,489.74,340.58,288.58,2128.07,223.71,2128.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-05,242.68,217.5,169.72,232.44,672.19,136.87,672.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-06,359.09,290.04,274.58,262.64,662.86,249.2,538.58,0.0,0.0,0.0,124.29,0.0,0.0,0.0
2020-01-07,374.49,340.3,306.18,233.63,686.03,281.35,592.48,0.0,0.0,93.55,0.0,0.0,0.0,0.0
2020-01-08,325.33,302.48,245.58,189.76,658.52,218.58,582.54,75.98,0.0,75.98,75.98,75.98,0.0,0.0
2020-01-09,350.66,327.38,260.71,366.53,788.6,226.2,788.6,0.0,76.32,0.0,0.0,0.0,0.0,0.0
2020-01-10,250.63,200.03,185.86,247.0,171.43,186.8,171.43,0.0,0.0,0.0,0.0,0.0,85.71,0.0
2020-01-11,239.84,204.39,193.5,112.17,350.34,183.24,350.34,0.0,0.0,0.0,0.0,116.78,0.0,0.0
2020-01-12,189.15,163.43,143.62,187.66,447.72,123.74,447.72,0.0,0.0,0.0,61.05,0.0,0.0,0.0
2020-01-13,171.26,181.2,147.29,92.21,280.0,138.61,160.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0
2020-01-14,149.09,168.42,144.2,85.71,89.23,147.8,89.23,0.0,89.23,0.0,0.0,0.0,0.0,0.0
2020-01-15,167.36,83.81,134.26,87.97,152.63,133.06,76.32,0.0,0.0,0.0,76.32,0.0,0.0,0.0
2020-01-16,146.38,44.79,100.85,41.78,72.5,102.7,0.0,0.0,0.0,72.5,0.0,0.0,0.0,0.0
2020-01-17,136.42,67.25,112.23,75.29,78.38,114.45,78.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-18,127.12,121.64,112.05,144.44,107.41,112.36,107.41,0.0,0.0,0.0,107.41,0.0,0.0,0.0
2020-01-19,108.29,85.05,87.37,111.42,105.46,86.18,0.0,0.0,0.0,0.0,105.46,0.0,0.0,0.0
2020-01-20,191.5,158.07,146.56,196.63,383.83,131.05,255.88,0.0,0.0,127.94,127.94,0.0,0.0,0.0
2020-01-21,156.31,80.9,112.52,107.83,112.26,112.54,112.26,0.0,0.0,0.0,112.26,0.0,0.0,0.0
2020-01-22,86.53,134.84,109.9,77.02,80.18,111.84,0.0,0.0,0.0,0.0,80.18,0.0,0.0,0.0
