direction,group,shock,spec,n,firms,quarters,beta_control_mr,p_control_mr,beta_interaction,p_interaction,beta_treated_total,se_treated_total,p_treated_total,r2_within,q_fdr_interaction
1 Threat×HighLiab anticipation,HighLiab_TopTercile,THREATS_z,primary,12990,578,23,-0.09751053739483825,0.5241874121910097,0.5550255288320272,0.015305210658331347,0.4575149914371889,0.20366786912685395,0.02467981540382306,0.06702242477907039,0.09183126394998808
1 Threat×HighLiab anticipation,HighLiab_TopTercile,THREATS_z,winsor_1_99,12990,578,23,-0.013610107581942822,0.9378592906312415,0.4132184888118534,0.151602472331833,0.3996083812299106,0.2446632791310244,0.1024060478931285,0.05317201060357335,0.454807416995499
1 Threat×HighLiab anticipation,HighLiab_TopTercile,THREATS_z,event_car5,5847,578,11,0.04803502838290365,0.020948076806428295,-0.11769573278968325,0.0005895200302425962,-0.0696607044067796,0.034381185820559886,0.04275160645140576,0.07017480166261869,0.0017685600907277887
1 Threat×HighLiab anticipation,HighLiab_TopTercile,THREATS_z,reverse_timing_placebo,12425,578,22,0.07746186925738716,0.7075203611032146,-0.539245380880038,0.12672008715892713,-0.46178351162265086,0.2776562820022861,0.0962827980982871,0.07250095413464863,0.3801602614767814
2 Acts×HighLiab realization,HighLiab_TopTercile,ACTS_z,primary,12990,578,23,-0.0763066007709816,0.5465638141836726,0.20762879393293823,0.395468085649755,0.13132219316195665,0.1801988577409182,0.4661468756001239,0.06636346962634221,0.4251957988944297
2 Acts×HighLiab realization,HighLiab_TopTercile,ACTS_z,winsor_1_99,12990,578,23,-0.05601770722046974,0.6918356556444674,0.21094837368911284,0.30795744260368796,0.15493066646864312,0.15295480421289245,0.31109935459017335,0.05283961723225494,0.6159148852073759
2 Acts×HighLiab realization,HighLiab_TopTercile,ACTS_z,event_car5,4907,578,9,-0.03219517500515771,0.2979889221847838,0.031483450289966824,0.6528354774759029,-0.0007117247151908826,0.056208214944935435,0.9898972243144468,0.08352830696436764,0.6528354774759029
2 Acts×HighLiab realization,HighLiab_TopTercile,ACTS_z,reverse_timing_placebo,12425,578,22,0.07736462850830618,0.6248584618058981,0.020810131545012982,0.9395728119531956,0.09817476005331915,0.23854076576476546,0.6806591200614497,0.07183087076623462,0.9395728119531958
3 Acts×CashConversionTrap,CashConversionTrap,ACTS_z,primary,12990,578,23,-0.0535770370647137,0.5896222172260188,0.4781143271457741,0.16498104686577242,0.42453729008106045,0.32100428883191484,0.1859922571477065,0.06648155520861276,0.3861680704917807
3 Acts×CashConversionTrap,CashConversionTrap,ACTS_z,winsor_1_99,12990,578,23,-0.06225394088630615,0.6096501915626769,1.270386755498967,0.016663155466278612,1.2081328146126609,0.48128338211601523,0.012065195931622866,0.053184652564132295,0.09997893279767167
3 Acts×CashConversionTrap,CashConversionTrap,ACTS_z,event_car5,4907,578,9,-0.036040605719153004,0.2507841786658702,0.10514370589033832,0.09740485103357654,0.06910310017118532,0.046819123522942256,0.1399549367809944,0.08403418898547343,0.14610727655036482
3 Acts×CashConversionTrap,CashConversionTrap,ACTS_z,reverse_timing_placebo,12425,578,22,0.1687770537425549,0.26793346132168194,-0.8148886133928506,0.026826931850910674,-0.6461115596502957,0.2995577636459008,0.031014648704482076,0.07244121428878447,0.16096159110546404
4 Threat×DoubleExposure,DoubleExposure_TopTercile,THREATS_z,primary,12990,578,23,0.04521614427276798,0.7940323722780636,0.28987080709328616,0.2574453803278538,0.33508695136605415,0.16716081601135147,0.04500814395875198,0.06650778699049964,0.3861680704917807
4 Threat×DoubleExposure,DoubleExposure_TopTercile,THREATS_z,winsor_1_99,12990,578,23,0.06469877102893666,0.7077406902584693,0.31981139704054234,0.4832169449661077,0.384510168069479,0.3909975251316829,0.32540658156734903,0.052965422300033205,0.7248254174491615
4 Threat×DoubleExposure,DoubleExposure_TopTercile,THREATS_z,event_car5,5847,578,11,0.03487806341695523,0.12493697386277014,-0.13219242681879378,8.681944052568724e-12,-0.09731436340183855,0.025014739764468046,0.00010012826317029178,0.07029963552725138,5.2091664315412345e-11
4 Threat×DoubleExposure,DoubleExposure_TopTercile,THREATS_z,reverse_timing_placebo,12425,578,22,-0.07364289928211286,0.6923292097117693,-0.18619704029428968,0.6115811850738795,-0.25983993957640256,0.3158103507806196,0.4106376160517601,0.07201546401713665,0.9173717776108192
5a Threat×AssetCommitmentMismatch,AssetCommitmentMismatch,THREATS_z,primary,12990,578,23,0.08289528328395024,0.5628422209133708,0.3419630673648693,0.19883150607873468,0.42485835064881955,0.23675202429347628,0.07272878946228663,0.06645854931681805,0.3861680704917807
5a Threat×AssetCommitmentMismatch,AssetCommitmentMismatch,THREATS_z,winsor_1_99,12990,578,23,0.09687870886560353,0.5201776204734907,0.2777989118508662,0.6878378861174588,0.3746776207164697,0.6839017596178611,0.5837928531968224,0.05292132716707787,0.8254054633409507
5a Threat×AssetCommitmentMismatch,AssetCommitmentMismatch,THREATS_z,event_car5,5847,578,11,0.01583214316657009,0.4578437880927513,-0.13600981052827046,0.022559674842130395,-0.12017766736170038,0.05964405838491579,0.04391362726416182,0.06956230577153144,0.04511934968426079
5a Threat×AssetCommitmentMismatch,AssetCommitmentMismatch,THREATS_z,reverse_timing_placebo,12425,578,22,-0.10996156425451378,0.5057885538690772,-0.042505504817088084,0.8858320075073118,-0.15246706907160187,0.29898291224316653,0.6100847738668334,0.07195729427402486,0.9395728119531958
5b Threat×FragileLowMarginFunding,FragileLowMarginFunding,THREATS_z,primary,12990,578,23,0.06604165726121619,0.6565955583350758,0.22516771404225372,0.4251957988944297,0.2912093713034699,0.261228459390319,0.2649494521102269,0.06646785326678284,0.4251957988944297
5b Threat×FragileLowMarginFunding,FragileLowMarginFunding,THREATS_z,winsor_1_99,12990,578,23,0.11079782949388844,0.5108440060839676,-0.030143388225643712,0.9389120750647519,0.08065444126824473,0.3375026208339066,0.811125537015992,0.05290675052279259,0.9389120750647519
5b Threat×FragileLowMarginFunding,FragileLowMarginFunding,THREATS_z,event_car5,5847,578,11,0.015619167865106582,0.4995103925788118,-0.06427019627263952,0.22570865584016397,-0.048651028407532944,0.04857257705518516,0.31652950748328856,0.06936943420764463,0.27085038700819675
5b Threat×FragileLowMarginFunding,FragileLowMarginFunding,THREATS_z,reverse_timing_placebo,12425,578,22,-0.06015406264534906,0.7401806685407661,-0.32345512452877945,0.43676077401881686,-0.3836091871741285,0.3707236876357544,0.3007820860006122,0.07207831492280858,0.8735215480376337
