group,h,mean_diff,median_diff,events,share_negative,mean_p
AssetCommitmentMismatch,1,0.001505283521107197,0.001505283521107197,1,0.0,0.6624217147794332
AssetCommitmentMismatch,5,0.001702002830021216,0.001702002830021216,1,0.0,0.8949363585829773
AssetCommitmentMismatch,20,-0.009084873213370462,-0.009084873213370462,1,1.0,0.6577131248184572
CashConversionTrap,1,0.004034456580312193,0.004034456580312193,1,0.0,0.29609139559903275
CashConversionTrap,5,0.00012991388099792105,0.00012991388099792105,1,0.0,0.9813721130831602
CashConversionTrap,20,-0.0044604639169088765,-0.0044604639169088765,1,1.0,0.7973979996930092
DoubleExposure_TopTercile,1,-0.0011675574489120732,-0.0011675574489120732,1,1.0,0.7572950787629816
DoubleExposure_TopTercile,5,-0.003970460139862645,-0.003970460139862645,1,1.0,0.43668618011436594
DoubleExposure_TopTercile,20,-0.0009858935397650415,-0.0009858935397650415,1,1.0,0.9445874558772781
FragileLowMarginFunding,1,0.0029670332295673664,0.0029670332295673664,1,0.0,0.5947894177316995
FragileLowMarginFunding,5,0.002582747383697113,0.002582747383697113,1,0.0,0.8449926795192938
FragileLowMarginFunding,20,0.010508418874557285,0.010508418874557285,1,0.0,0.5934545563447899
HighLiab_TopTercile,1,-0.002301064553765827,-0.002301064553765827,1,1.0,0.40799080811343097
HighLiab_TopTercile,5,0.0019497929082503461,0.0019497929082503461,1,0.0,0.7555535202892438
HighLiab_TopTercile,20,0.017487140624830463,0.017487140624830463,1,0.0,0.2304105051007366
