group,shock,beta,p,n,status
HighLiab_TopTercile,THREATS_z,,,0,INSUFFICIENT
HighLiab_TopTercile,ACTS_z,,,0,INSUFFICIENT
HighLiab_TopTercile,AI_GPR_z,,,0,INSUFFICIENT
HighLiab_TopTercile,GPR_ORIG_z,,,0,INSUFFICIENT
CashConversionTrap,THREATS_z,,,0,INSUFFICIENT
CashConversionTrap,ACTS_z,,,0,INSUFFICIENT
CashConversionTrap,AI_GPR_z,,,0,INSUFFICIENT
CashConversionTrap,GPR_ORIG_z,,,0,INSUFFICIENT
DoubleExposure_TopTercile,THREATS_z,,,0,INSUFFICIENT
DoubleExposure_TopTercile,ACTS_z,,,0,INSUFFICIENT
DoubleExposure_TopTercile,AI_GPR_z,,,0,INSUFFICIENT
DoubleExposure_TopTercile,GPR_ORIG_z,,,0,INSUFFICIENT
FragileLowMarginFunding,THREATS_z,,,0,INSUFFICIENT
FragileLowMarginFunding,ACTS_z,,,0,INSUFFICIENT
FragileLowMarginFunding,AI_GPR_z,,,0,INSUFFICIENT
FragileLowMarginFunding,GPR_ORIG_z,,,0,INSUFFICIENT
AssetCommitmentMismatch,THREATS_z,,,0,INSUFFICIENT
AssetCommitmentMismatch,ACTS_z,,,0,INSUFFICIENT
AssetCommitmentMismatch,AI_GPR_z,,,0,INSUFFICIENT
AssetCommitmentMismatch,GPR_ORIG_z,,,0,INSUFFICIENT
