shock,event_date,trade_date,horizon,group,treated_car,control_car,diff,p,n_t,n_c
THREATS_z,2020-04-27,2020-04-27,post1,HighLiab_TopTercile,-0.002505940343121968,0.004467227086655518,-0.006973167429777485,0.15189707798408797,89,202
THREATS_z,2020-04-27,2020-04-27,post1,CashConversionTrap,-0.009511828302196962,0.0037981841182890435,-0.013310012420486005,0.0867917354271736,32,259
THREATS_z,2020-04-27,2020-04-27,post1,DoubleExposure_TopTercile,-0.0033577796303540654,0.0033758181476930584,-0.006733597778047124,0.3284058955569471,45,246
THREATS_z,2020-04-27,2020-04-27,post1,FragileLowMarginFunding,0.001522308633812822,0.0024176092721727776,-0.0008953006383599555,0.911021995477482,27,264
THREATS_z,2020-04-27,2020-04-27,post1,AssetCommitmentMismatch,0.004845050144212748,0.002045975772567728,0.00279907437164502,0.7150310860669862,30,261
THREATS_z,2020-04-27,2020-04-27,post5,HighLiab_TopTercile,0.02097034764851559,0.0060779040251432515,0.014892443623372338,0.08597780915293594,97,215
THREATS_z,2020-04-27,2020-04-27,post5,CashConversionTrap,0.009409414130704365,0.010861514053758306,-0.0014520999230539407,0.9085814017339179,33,279
THREATS_z,2020-04-27,2020-04-27,post5,DoubleExposure_TopTercile,0.02498596577012478,0.008047759561124324,0.016938206209000453,0.16235753410643913,49,263
THREATS_z,2020-04-27,2020-04-27,post5,FragileLowMarginFunding,0.02375891484373535,0.009111762527427372,0.01464715231630798,0.39417939367038113,34,278
THREATS_z,2020-04-27,2020-04-27,post5,AssetCommitmentMismatch,0.027107667515523536,0.008898702470927337,0.0182089650445962,0.16130704103727955,31,281
THREATS_z,2020-04-27,2020-04-27,post20,HighLiab_TopTercile,0.06127324571720678,0.055630326970082696,0.005642918747124082,0.7180753577253911,99,220
THREATS_z,2020-04-27,2020-04-27,post20,CashConversionTrap,0.059187496145117195,0.057173202400813986,0.0020142937443032097,0.9364647575821387,33,286
THREATS_z,2020-04-27,2020-04-27,post20,DoubleExposure_TopTercile,0.07291436379390602,0.05449444263838798,0.01841992115551804,0.4097511377317726,50,269
THREATS_z,2020-04-27,2020-04-27,post20,FragileLowMarginFunding,0.04448403678470693,0.058971063281538456,-0.014487026496831527,0.5152355238777898,35,284
THREATS_z,2020-04-27,2020-04-27,post20,AssetCommitmentMismatch,0.08635498463158735,0.05415109320979398,0.03220389142179337,0.19310265619179387,32,287
THREATS_z,2020-04-27,2020-04-27,pre5,HighLiab_TopTercile,0.03356292569998505,0.017945429203096608,0.015617496496888442,0.08592245005811357,95,216
THREATS_z,2020-04-27,2020-04-27,pre5,CashConversionTrap,0.04715339423998485,0.019815210933265996,0.027338183306718857,0.08499740339372577,33,278
THREATS_z,2020-04-27,2020-04-27,pre5,DoubleExposure_TopTercile,0.041543928379573776,0.019194802132703557,0.02234912624687022,0.07319133995039839,49,262
THREATS_z,2020-04-27,2020-04-27,pre5,FragileLowMarginFunding,0.01851791181526501,0.023231341688261502,-0.004713429872996493,0.7366712799911541,34,277
THREATS_z,2020-04-27,2020-04-27,pre5,AssetCommitmentMismatch,0.030444362816746527,0.021829645301905228,0.008614717514841299,0.42061295882525496,32,279
THREATS_z,2024-09-14,2024-09-16,post1,HighLiab_TopTercile,-0.0015544092365232373,0.0005621738313444846,-0.002116583067867722,0.4423228201958668,94,205
THREATS_z,2024-09-14,2024-09-16,post1,CashConversionTrap,0.000728093277831316,-0.0001925316217210116,0.0009206248995523276,0.7740049044489198,29,270
THREATS_z,2024-09-14,2024-09-16,post1,DoubleExposure_TopTercile,0.0036822144137569784,-0.0008092575803735831,0.004491471994130561,0.25161085313036097,47,252
THREATS_z,2024-09-14,2024-09-16,post1,FragileLowMarginFunding,-0.0028645001224965752,0.00020470695489714606,-0.0030692070773937212,0.3680894288805261,30,269
THREATS_z,2024-09-14,2024-09-16,post1,AssetCommitmentMismatch,-0.004973637177346536,0.0004804777410768696,-0.005454114918423406,0.05023211813408967,32,267
THREATS_z,2024-09-14,2024-09-16,post5,HighLiab_TopTercile,-0.0001686887788355263,0.005296707691947497,-0.005465396470783024,0.23744989350888926,98,218
THREATS_z,2024-09-14,2024-09-16,post5,CashConversionTrap,0.007274901882562468,0.0032022063795060928,0.0040726955030563755,0.5019758025706281,31,285
THREATS_z,2024-09-14,2024-09-16,post5,DoubleExposure_TopTercile,0.003972402823855842,0.0035320700576160938,0.0004403327662397482,0.9485713349373107,50,266
THREATS_z,2024-09-14,2024-09-16,post5,FragileLowMarginFunding,-0.002618449550689199,0.00432706576569405,-0.006945515316383249,0.4123569825560467,33,283
THREATS_z,2024-09-14,2024-09-16,post5,AssetCommitmentMismatch,0.004639694564274075,0.0034847906706405017,0.0011549038936335735,0.8730594238152779,32,284
THREATS_z,2024-09-14,2024-09-16,post20,HighLiab_TopTercile,-0.008289630767634764,0.008312817754618283,-0.016602448522253045,0.06975331356431952,102,222
THREATS_z,2024-09-14,2024-09-16,post20,CashConversionTrap,0.007512482012181448,0.0026010403384818725,0.004911441673699575,0.6830264306109878,32,292
