symbol,price_n,price_start,price_end
AAA,1499,2020-01-02,2025-12-31
AAM,1451,2020-01-02,2025-12-31
ACC,1484,2020-01-02,2025-12-31
ACL,1495,2020-01-02,2025-12-31
ADC,868,2020-01-06,2025-12-31
ADS,1494,2020-01-02,2025-12-31
AGR,1499,2020-01-02,2025-12-31
ALT,916,2020-01-15,2025-12-29
AMC,690,2020-01-09,2025-12-31
AME,1122,2020-01-07,2025-12-31
AMV,1225,2020-01-02,2025-03-14
ANV,1499,2020-01-02,2025-12-31
APG,1499,2020-01-02,2025-12-31
API,1454,2020-01-03,2025-12-31
APS,1482,2020-01-02,2025-12-31
ARM,310,2020-01-13,2025-11-24
ASM,1499,2020-01-02,2025-12-31
ASP,1499,2020-01-02,2025-12-31
AST,1495,2020-01-02,2025-12-31
ATS,410,2020-04-06,2025-12-16
BAX,1210,2020-01-02,2025-12-30
BBS,592,2020-03-03,2025-11-28
BCC,1499,2020-01-02,2025-12-31
BCE,1499,2020-01-02,2025-12-31
BED,88,2020-02-07,2025-06-10
BFC,1499,2020-01-02,2025-12-31
BHN,1417,2020-01-02,2025-12-31
BIC,1498,2020-01-02,2025-12-31
BID,1499,2020-01-02,2025-12-31
BKC,1130,2020-01-03,2025-12-31
BMC,1499,2020-01-02,2025-12-31
BMI,1499,2020-01-02,2025-12-31
BMP,1499,2020-01-02,2025-12-31
BPC,771,2020-01-03,2025-12-25
BRC,1324,2020-01-08,2025-12-31
BTP,1483,2020-01-02,2025-12-31
BTS,1453,2020-01-02,2025-12-29
BTT,719,2020-01-02,2025-12-29
BTW,533,2020-01-08,2025-12-23
BVH,1499,2020-01-02,2025-12-31
BVS,1499,2020-01-02,2025-12-31
BWE,1499,2020-01-02,2025-12-31
BXH,368,2020-01-02,2025-12-04
C32,1480,2020-01-02,2025-12-31
C47,1499,2020-01-02,2025-12-31
C69,1499,2020-01-02,2025-12-31
CAG,1205,2021-01-06,2025-12-31
CAN,819,2020-01-02,2025-12-23
CAP,1492,2020-01-02,2025-12-31
CCI,1218,2020-01-02,2025-12-31
CCL,1499,2020-01-02,2025-12-31
CDC,1469,2020-01-02,2025-12-31
CDN,1395,2020-01-02,2025-12-31
CEO,1499,2020-01-02,2025-12-31
CET,1365,2020-01-02,2025-12-26
