symbol,n,start,end
AAM,1451,2020-01-02,2025-12-31
ADS,1494,2020-01-02,2025-12-31
AME,1122,2020-01-07,2025-12-31
API,1454,2020-01-03,2025-12-31
ASP,1499,2020-01-02,2025-12-31
BBS,592,2020-03-03,2025-11-28
BFC,1499,2020-01-02,2025-12-31
BKC,1130,2020-01-03,2025-12-31
BPC,771,2020-01-03,2025-12-25
BTT,719,2020-01-02,2025-12-29
BWE,1499,2020-01-02,2025-12-31
C69,1499,2020-01-02,2025-12-31
CCI,1218,2020-01-02,2025-12-31
CEO,1499,2020-01-02,2025-12-31
CIG,1483,2020-01-03,2025-12-31
CLC,1437,2020-01-02,2025-12-31
CLW,506,2020-01-02,2025-12-24
CMV,1120,2020-02-11,2025-12-23
CPC,1030,2020-01-02,2025-12-31
CSM,1491,2020-01-02,2025-12-31
CTF,1499,2020-01-02,2025-12-31
CTS,1499,2020-01-02,2025-12-31
D11,1348,2020-01-06,2025-12-31
DAH,1499,2020-01-02,2025-12-31
DBT,1421,2020-01-02,2025-12-31
DCM,1499,2020-01-02,2025-12-31
DHC,1499,2020-01-02,2025-12-31
DLD,88,2020-06-29,2025-12-17
DNP,1329,2020-01-02,2025-12-31
DPR,1498,2020-01-02,2025-12-31
DRL,1363,2020-01-02,2025-12-31
DTC,1119,2020-01-21,2025-12-31
DVP,1499,2020-01-02,2025-12-31
EIB,1499,2020-01-02,2025-12-31
EVE,1499,2020-01-02,2025-12-31
FIR,1499,2020-01-02,2025-12-31
FRT,1499,2020-01-02,2025-12-31
GEG,1499,2020-01-02,2025-12-31
GMD,1499,2020-01-02,2025-12-31
HAH,1499,2020-01-02,2025-12-31
HAX,1499,2020-01-02,2025-12-31
HDA,1489,2020-01-02,2025-12-31
HID,1499,2020-01-02,2025-12-31
HND,1499,2020-01-02,2025-12-31
HT1,1499,2020-01-02,2025-12-31
HTP,924,2020-01-02,2025-12-26
IBC,925,2020-01-02,2023-09-15
IJC,1499,2020-01-02,2025-12-31
ITC,1465,2020-01-02,2025-12-31
KHG,1112,2021-07-19,2025-12-31
KOS,1499,2020-01-02,2025-12-31
KST,560,2020-01-22,2025-12-31
LAS,1498,2020-01-02,2025-12-31
LHG,1499,2020-01-02,2025-12-31
MBB,1499,2020-01-02,2025-12-31
MIG,1484,2020-01-02,2025-12-31
MWG,1499,2020-01-02,2025-12-31
NBB,1476,2020-01-02,2025-12-31
NLG,1499,2020-01-02,2025-12-31
NTP,1499,2020-01-02,2025-12-31
OGC,1499,2020-01-02,2025-12-31
PC1,1499,2020-01-02,2025-12-31
PGD,1438,2020-01-02,2025-12-31
PLP,1492,2020-01-02,2025-12-31
POW,1499,2020-01-02,2025-12-31
PVB,1499,2020-01-02,2025-12-31
PVS,1499,2020-01-02,2025-12-31
REE,1499,2020-01-02,2025-12-31
SAM,1499,2020-01-02,2025-12-31
SCR,1499,2020-01-02,2025-12-31
SDT,1465,2020-01-02,2025-12-31
SGP,1499,2020-01-02,2025-12-31
SIP,1494,2020-01-02,2025-12-31
SPM,1141,2020-01-02,2025-12-31
STB,1499,2020-01-02,2025-12-31
TBC,1335,2020-01-02,2025-12-31
TDC,1499,2020-01-02,2025-12-31
TGG,925,2020-01-02,2023-09-15
TLG,1499,2020-01-02,2025-12-31
TNG,1499,2020-01-02,2025-12-31
TRC,1388,2020-01-02,2025-12-31
TTF,1499,2020-01-02,2025-12-31
TVS,1492,2020-01-02,2025-12-31
VC7,1446,2020-01-03,2025-12-31
VCP,1309,2020-01-02,2025-12-31
VE1,1087,2020-01-06,2025-12-30
VHM,1499,2020-01-02,2025-12-31
VIX,1492,2020-01-02,2025-12-31
VNE,1499,2020-01-02,2025-12-31
VOS,1499,2020-01-02,2025-12-31
VPI,1499,2020-01-02,2025-12-31
VSC,1499,2020-01-02,2025-12-31
VTH,674,2020-04-01,2025-12-29
WCS,1206,2020-01-02,2025-12-31
YEG,1499,2020-01-02,2025-12-31
