shock,event_date
THREATS_z,2020-04-27
THREATS_z,2024-09-14
THREATS_z,2023-03-20
THREATS_z,2020-11-16
THREATS_z,2025-11-17
THREATS_z,2020-07-21
THREATS_z,2024-07-22
THREATS_z,2023-10-16
THREATS_z,2023-08-14
THREATS_z,2024-07-01
THREATS_z,2020-01-04
THREATS_z,2024-10-14
THREATS_z,2024-01-08
THREATS_z,2024-05-26
THREATS_z,2023-07-10
ACTS_z,2020-04-07
ACTS_z,2020-11-03
ACTS_z,2021-11-22
ACTS_z,2023-10-09
ACTS_z,2020-02-26
ACTS_z,2022-01-03
ACTS_z,2024-07-01
ACTS_z,2022-01-24
ACTS_z,2023-04-03
ACTS_z,2020-10-24
ACTS_z,2020-05-25
ACTS_z,2022-02-22
ACTS_z,2025-02-10
ACTS_z,2020-01-04
ACTS_z,2020-03-26
