k,beta,se,p
-7,-0.006531586860043078,,
-6,0.0015844582095168992,0.007481536884269711,0.8322801174048027
-5,-6.172774487709895e-05,,
-4,0.016644674165009424,,
-3,0.00219098034006739,,
-2,0.00047734508034997993,0.008577754846661605,0.9556221444845683
0,0.008500013377977367,0.008454196633584297,0.31471385670117114
1,-0.014689233657201798,,
2,-0.014825568039129147,0.003904863687365344,0.00014731312069660163
3,-0.012884694845129444,,
4,0.005323985428730969,,
5,-0.002073028215369762,0.004106824756230538,0.6137245433819407
6,-0.003967382306931514,0.004777065832244873,0.4062681201056093
7,0.008284104606368078,,
8,-0.01718947431192587,0.005847081229912397,0.0032896773436494886
9,-0.010141165089004478,0.002056313229628042,8.252624035254286e-07
10,-0.0240791676493996,0.005274245424311489,5.031090641871572e-06
11,0.02915579211113721,,
12,-0.005259031539436373,0.008149224904623905,0.5187175367038721
13,-0.029955801974653445,0.004081257112005498,2.2670754162845697e-13
14,0.008114362856472964,0.0033411271033183996,0.015169589946385065
15,-0.000630758479370318,,
16,-0.014986733460603516,0.010981265060220074,0.17235403018469464
