test,label,n,firms,beta,se,p,r2_within,error
primary,Threat_mean_z x HL67,13473.0,567.0,-0.0065111271294339915,0.002628103871650693,0.013243372510630458,0.0016816665090226834,
alt_threat_measure,Threat_max_z,13473.0,567.0,-0.006068878756968499,0.002161823361640229,0.005003434724314193,0.0021210283872654667,
alt_threat_measure,Threat_p90_z,13473.0,567.0,-0.006666926642431212,0.0025453690489817956,0.008822977952336997,0.0017570487058803375,
alt_threat_measure,Threat_spikeshare_z,13473.0,567.0,-0.00619901670265407,0.00346879701007693,0.07394811647647481,0.001793687516935094,
timing,Threat_mean_z_lead1,12917.0,567.0,-0.003040785243057599,0.0025201441669782756,0.2276125514696401,0.0011731902972494934,
timing,Threat_mean_z_lag1,12907.0,567.0,-0.002225744882629954,0.0020965982705658044,0.2884389638734941,0.0011626781357920724,
timing,Threat_mean_z_lag2,12343.0,567.0,-0.0032657225255357156,0.0018390400171928447,0.07579576973696134,0.0008141936347274559,
cutoff,HL60,13473.0,567.0,-0.007332537671736412,0.001899960529661001,0.00011426225316624183,0.00179573115178977,
cutoff,HL67,13473.0,567.0,-0.0065111271294339915,0.002628103871650693,0.013243372510630458,0.0016816665090226834,
cutoff,HL75,13473.0,567.0,-0.0071717050490218955,0.0022299037836138653,0.0013024373535872602,0.001695044282319258,
se_robustness,twoway,13473.0,567.0,-0.0065111271294339915,0.002628103871650693,0.013243372510630458,0.0016816665090226834,
se_robustness,entity,13473.0,567.0,-0.0065111271294339915,0.0019799040109951555,0.0010095430833905183,0.0016816665090226834,
se_robustness,dk,13473.0,567.0,-0.0065111271294339915,0.0017637507377112347,0.00022373520373974998,0.0016816665090226834,
se_robustness,robust,13473.0,567.0,-0.0065111271294339915,0.002033509749044437,0.0013684850468929088,0.0016816665090226834,
winsor,cfo_assets_w,13473.0,567.0,-0.004213825059018188,0.0019295301332331967,0.028990461247839105,0.0027304557440955834,
controls,without_controls,13473.0,567.0,-0.005900549228244209,0.002655788414462284,0.02631620709093685,0.0007132894224772812,
exclusion,exclude_2022H1,,,,,,,"TypeError(""fit() got multiple values for argument 'data'"")"
leave_one_year_out,2020,11227.0,567.0,-0.0066094307792065035,0.003004484330926325,0.027838590366612292,0.0007660879613435867,
leave_one_year_out,2021,11226.0,567.0,-0.006726488027933468,0.0035357824105746575,0.057145286224323355,0.0019943123428725062,
leave_one_year_out,2022,11237.0,567.0,-0.006237648297261722,0.0027317298525121997,0.022426072636942962,0.0014606113612480875,
leave_one_year_out,2023,11226.0,567.0,-0.00612872473004985,0.002711626476354238,0.02383111170245078,0.0016977369840286416,
leave_one_year_out,2024,11219.0,567.0,-0.006264376813653351,0.002863737165788912,0.028728977297337144,0.004533312296376657,
leave_one_year_out,2025,11230.0,567.0,-0.008157221565181892,0.000787244682042596,0.0,0.0012632595627323218,
leave_one_quarter_out,2020Q1,12907.0,567.0,-0.006612537294017577,0.0026445275174893632,0.012416080267016794,0.0018219156653137558,
leave_one_quarter_out,2020Q2,12909.0,567.0,-0.006932811382372193,0.0029707590123362985,0.019628300824460876,0.001568906847885021,
leave_one_quarter_out,2020Q3,12912.0,567.0,-0.006726275958276353,0.002662500659644433,0.011539514363570813,0.0013547840813284973,
leave_one_quarter_out,2020Q4,12918.0,567.0,-0.00574475873962937,0.0025243335165531316,0.0228778988912135,0.0012380405737819622,
leave_one_quarter_out,2021Q1,12907.0,567.0,-0.006606687213852265,0.0027430645469154295,0.016032560437940324,0.0020028057208820726,
leave_one_quarter_out,2021Q2,12909.0,567.0,-0.00672015489605621,0.0030095511692090236,0.025570627342909047,0.0018066294045312459,
leave_one_quarter_out,2021Q3,12912.0,567.0,-0.0065989410851707295,0.002645444130101246,0.012628072680105573,0.0016090359797830134,
leave_one_quarter_out,2021Q4,12917.0,567.0,-0.006262276149923146,0.0028197425370164023,0.02637800599144091,0.001604775175436779,
leave_one_quarter_out,2022Q1,12907.0,567.0,-0.006293060885925318,0.0027481031991888486,0.022040159645524637,0.001485400838941997,
leave_one_quarter_out,2022Q2,12915.0,567.0,-0.0065601844592335975,0.0026231261590139504,0.012400581886622408,0.0016639441208371464,
leave_one_quarter_out,2022Q3,12916.0,567.0,-0.006481875800803466,0.0026237923886993403,0.01350878806391731,0.0017161542605580449,
leave_one_quarter_out,2022Q4,12918.0,567.0,-0.006450784683310384,0.0026131682154920365,0.013578934399096632,0.0016345932465483548,
leave_one_quarter_out,2023Q1,12906.0,567.0,-0.006515750061522753,0.002624825736245041,0.01306493142715981,0.0017371066078768482,
leave_one_quarter_out,2023Q2,12911.0,567.0,-0.006561262020169222,0.002640128502079895,0.012960831955443952,0.0017184857566681089,
leave_one_quarter_out,2023Q3,12912.0,567.0,-0.006356335927446499,0.0025859505397691357,0.0139839378946498,0.00158081220585371,
leave_one_quarter_out,2023Q4,12916.0,567.0,-0.006211006248144882,0.0027276357956089307,0.022799355210130656,0.0017072741330921293,
leave_one_quarter_out,2024Q1,12906.0,567.0,-0.00639132686911178,0.002721375205362504,0.018861628193763913,0.0014480802673105808,
leave_one_quarter_out,2024Q2,12912.0,567.0,-0.006122308762834256,0.0026629792407250794,0.021519043263339865,0.0034472822356785837,
leave_one_quarter_out,2024Q3,12910.0,567.0,-0.006583184744980784,0.0027100742971209756,0.015148354345172477,0.001822445833180586,
