test,label,n,firms,beta,se,p,r2_within
primary,Acts_mean_z x HL67,13473,567,-0.005889746491737053,0.0007872093649343036,7.815970093361102e-14,0.001497393843074013
alt_acts_measure,Acts_max_z,13473,567,-0.004333398734034121,0.0015649319078215697,0.005629776907857709,0.0017027316144376803
alt_acts_measure,Acts_p90_z,13473,567,-0.005714015236599438,0.0008705477215682969,5.449929396661446e-11,0.0017482284191374653
alt_acts_measure,Acts_spikeshare_z,13473,567,-0.004822787611578876,0.001165845360616103,3.545270226212871e-05,0.0015163055504782141
timing,Acts_mean_z_lead1,12917,567,-0.0021639380434126847,0.0021686433032673076,0.31838123401883056,0.0011650868483502608
timing,Acts_mean_z_lag1,12907,567,-0.004073814698676964,0.0014478032463938505,0.0049038765675935014,0.0012644880049541563
timing,Acts_mean_z_lag2,12343,567,-0.0035916791292094374,0.0014322821741081957,0.012166670513849898,0.0008604906267074552
cutoff,HL60,13473,567,-0.00657666756612987,0.001283436162402777,3.030227115896622e-07,0.0015578883690579026
cutoff,HL67,13473,567,-0.005889746491737053,0.0007872093649343036,7.815970093361102e-14,0.001497393843074013
cutoff,HL75,13473,567,-0.006525337806566106,0.001428082854389678,4.939042872242894e-06,0.0015248061450897632
se_robustness,twoway,13473,567,-0.005889746491737053,0.0007872093649343036,7.815970093361102e-14,0.001497393843074013
se_robustness,entity,13473,567,-0.005889746491737053,0.0017734796610570642,0.0008994121184597859,0.001497393843074013
se_robustness,dk,13473,567,-0.005889746491737053,0.001122034107772907,1.5521533613949146e-07,0.001497393843074013
se_robustness,robust,13473,567,-0.005889746491737053,0.002151946025525465,0.006209871598112704,0.001497393843074013
winsor,cfo_assets_w,13473,567,-0.004294736209520981,0.0002004180453454948,0.0,0.002448750597808913
controls,without_controls,13473,567,-0.005431239847098903,0.0009453972032741093,9.403960499199115e-09,0.0005104600415515304
exclusion,exclude_2022H1,12349,567,-0.005495484659615536,0.0012810345067100332,1.801982715221584e-05,0.0011164221732054003
leave_one_year_out,2020,11227,567,-0.006280533899380858,,,0.000668638903827401
leave_one_year_out,2021,11226,567,-0.0058124707111150975,0.0017857785361846137,0.001138002862762999,0.0017453694171095657
leave_one_year_out,2022,11237,567,-0.005531867262650944,0.001653576843202153,0.0008244955524980835,0.0011769054435815107
leave_one_year_out,2023,11226,567,-0.005622171980149552,0.0005936787708260329,0.0,0.0014837330106544089
leave_one_year_out,2024,11219,567,-0.006547271565268838,0.0006256328163825231,0.0,0.004270721314809989
leave_one_year_out,2025,11230,567,-0.005746221501378097,0.0006237812709004018,0.0,0.0011982957145902917
leave_one_quarter_out,2020Q1,12907,567,-0.006194632486927046,0.0008185840992029396,4.085620730620576e-14,0.0016982986552175339
leave_one_quarter_out,2020Q2,12909,567,-0.006312295481599858,0.0010394356286286795,1.293929408063832e-09,0.001380681968910502
leave_one_quarter_out,2020Q3,12912,567,-0.006158204776255171,0.0006113417373996316,0.0,0.0011690619563325955
leave_one_quarter_out,2020Q4,12918,567,-0.0050664206792164915,,,0.0010914124373836431
leave_one_quarter_out,2021Q1,12907,567,-0.005992300478161371,0.0009012479726733725,3.077760268865859e-11,0.0018186653657468188
leave_one_quarter_out,2021Q2,12909,567,-0.006014347139499053,0.0013145017211299318,4.799951429657057e-06,0.0015862487940895287
leave_one_quarter_out,2021Q3,12912,567,-0.005850775385250408,0.0007422013461542152,3.552713678800501e-15,0.0014319428614280039
leave_one_quarter_out,2021Q4,12917,567,-0.00563913797034026,0.0011660323357417309,1.3396039391100345e-06,0.0014114685680567396
leave_one_quarter_out,2022Q1,12907,567,-0.005751979535516421,0.001315550811735487,1.239547445219813e-05,0.0011620392235641708
leave_one_quarter_out,2022Q2,12915,567,-0.0056921435648771045,0.0007896723660875981,5.999645225074346e-13,0.001459288820067517
leave_one_quarter_out,2022Q3,12916,567,-0.005727436486094558,0.0009054519599786369,2.6114599371851455e-10,0.0015419801039386893
leave_one_quarter_out,2022Q4,12918,567,-0.006061604352763456,0.0009566240280827793,2.433013790437144e-10,0.0015056837009824742
leave_one_quarter_out,2023Q1,12906,567,-0.0059135208762097135,0.0007890316835477377,7.105427357601002e-14,0.001533054301376735
leave_one_quarter_out,2023Q2,12911,567,-0.005931677462144115,0.000836055022073383,1.3657963648938676e-12,0.0015333760335115576
leave_one_quarter_out,2023Q3,12912,567,-0.005709948798297962,0.000572349389166964,0.0,0.001389946513024487
leave_one_quarter_out,2023Q4,12916,567,-0.005722200552704519,0.0006671215079336224,0.0,0.001520942061181696
leave_one_quarter_out,2024Q1,12906,567,-0.005780342474137989,0.0009784087207596584,3.5564995393144727e-09,0.0012624147548998543
leave_one_quarter_out,2024Q2,12912,567,-0.005530834975109498,0.0010616591407032069,1.9228721792607928e-07,0.0031682388082451274
leave_one_quarter_out,2024Q3,12910,567,-0.00680217095613767,0.0010258384054172222,3.477174104205005e-11,0.0016797388108229505
leave_one_quarter_out,2024Q4,12910,567,-0.005980304509327596,0.0004282219743823078,0.0,0.0016738222276412307
leave_one_quarter_out,2025Q1,12906,567,-0.005631796473878961,0.0008029167694957288,2.434052959188193e-12,0.0013906730691162217
leave_one_quarter_out,2025Q2,12910,567,-0.006186007580591288,0.0007362675606945013,0.0,0.0014084772134544954
leave_one_quarter_out,2025Q3,12916,567,-0.005886510438841593,0.00078187711190524,5.484501741648273e-14,0.0013705665304426518
leave_one_quarter_out,2025Q4,12917,567,-0.005767444823743159,0.0007531551388396698,2.042810365310288e-14,0.0015667220595989573
