spec,shock,exposure,n,firms,beta,se,p,r2_within,q_fdr_prespecified
primary_mean_continuous,Threat_mean,liab_exp,7749,325,-0.00032276391532267795,0.0016126139716553071,0.8413691454194159,0.00507728927556117,0.9786914496857477
winsor_1_99,Threat_mean,liab_exp,7749,325,-0.0007926788012001588,0.0013723184917162057,0.5635381843749574,0.003501523213394475,0.9786914496857477
exclude_2022H1,Threat_mean,liab_exp,7101,325,-0.0005441797541607748,0.0016735847027971604,0.7450714332174733,0.005451606834396383,0.9786914496857477
lag1_anticipation_persistence,Threat_mean,liab_exp,7425,325,-0.0009047593124444705,0.0015537745558777429,0.56038474593552,0.005429682307250494,0.9786914496857477
lead1_placebo,Threat_mean,liab_exp,7429,325,5.0803550345896555e-05,0.0015744196740176308,0.974259148612207,0.0052293401998196876,0.9786914496857477
binary_threshold,Threat_mean,high50,7749,325,0.0002290979309727268,0.0021256265756643307,0.9141739150634236,0.005045296332146121,0.9786914496857477
binary_threshold,Threat_mean,high33,7749,325,-7.448964168893023e-05,0.0027887894120738332,0.9786914496857477,0.005046733289208349,0.9786914496857477
binary_threshold,Threat_mean,high25,7749,325,0.0002579727370131437,0.0028474613802526296,0.9278149117333894,0.005044079547498526,0.9786914496857477
alternative_shock_aggregation,Threat_max,liab_exp,7749,325,0.00025926647124252755,0.0014176110911897485,0.8548895741148037,0.00502415192021044,0.9786914496857477
alternative_shock_aggregation,Threat_p90,liab_exp,7749,325,-0.00010008264195813923,0.0015956027690011711,0.9499879534031934,0.005053705862144375,0.9786914496857477
joint_threat_acts,Threat_mean,liab_exp,7749,325,0.0017769375523856662,0.0031398445544616365,0.5714573813010841,0.005381685067400999,0.9786914496857477
joint_threat_acts,Acts_mean,liab_exp,7749,325,-0.002735022824431437,0.0026272792080044823,0.2979051254842362,0.005381685067400999,
