rel_q,term,beta,se,p
-7,e_m7,-0.0025896173573131233,0.002790040067600602,0.3533523711054043
-6,e_m6,-0.005054142796698265,,
-5,e_m5,0.011225632004215723,,
-4,e_m4,-0.006451743965552614,0.0017738002137723619,0.0002774500584878936
-3,e_m3,0.0015402135006674267,0.004342378564777707,0.7228293459116504
-2,e_m2,-0.008519968750152377,0.006858971432747061,0.2142154515412371
0,e_p0,0.0024538001669409527,0.002583407124439326,0.3422292312826052
1,e_p1,-0.021559107032754436,0.002387727771229924,0.0
2,e_p2,-0.003983868214073129,0.003559766154092359,0.26311785203982563
3,e_p3,0.016860449510718693,,
4,e_p4,-0.0067902120337367386,,
5,e_p5,-0.0031569897853421865,,
6,e_p6,0.007017745044204806,0.0012157104036161794,8.12462674915082e-09
7,e_p7,-0.006643155432426904,,
8,e_p8,0.017022811163181287,,
9,e_p9,-0.013310828050403725,0.0034630707019886425,0.00012223611846207127
10,e_p10,-0.00502425968588296,0.003793473208011589,0.18539516234097464
11,e_p11,-0.014930306838459561,0.0043789908217761265,0.0006542298940428459
12,e_p12,-0.0005840194116032598,0.007626006558597875,0.9389576769525481
