symbol,HighLiab_TopTercile,CashConversionTrap,DoubleExposure_TopTercile,FragileLowMarginFunding,AssetCommitmentMismatch
AAA,0,0,0,0,0
AAM,0,1,0,0,0
ACC,0,0,0,0,0
ACL,1,0,1,0,0
ADC,1,0,0,0,0
ADS,1,0,0,1,0
AGR,0,0,0,0,0
ALT,0,0,0,0,0
AMC,0,0,0,0,0
AME,1,0,0,1,0
AMV,0,0,0,0,0
ANV,0,0,0,0,0
APG,0,0,0,0,0
API,1,1,1,0,1
APS,0,0,0,0,0
ARM,1,0,1,0,0
ASM,0,0,0,0,0
ASP,1,0,0,0,0
AST,0,0,0,0,0
ATS,0,0,0,0,0
BAX,0,0,0,0,0
BBS,1,0,0,1,0
BCC,1,0,0,0,1
BCE,1,0,0,0,0
BED,0,0,0,0,0
BFC,1,0,1,0,1
BHN,0,0,0,0,0
BIC,1,0,0,0,0
BID,0,0,0,0,0
BKC,1,0,1,1,1
BMC,0,0,0,0,0
BMI,1,0,0,1,0
BMP,0,0,0,0,0
BPC,1,0,0,0,0
BRC,0,0,0,0,0
BTP,0,0,0,0,0
BTS,1,0,0,1,1
BTT,0,0,0,0,0
BTW,0,0,0,0,0
BVH,0,0,0,0,0
BVS,0,0,0,0,0
BWE,0,0,0,0,0
BXH,1,0,0,0,0
C32,0,0,0,0,0
C47,1,1,1,0,0
C69,1,0,1,1,1
CAG,0,0,0,0,0
CAN,1,1,1,0,0
CAP,0,0,0,0,0
CCI,0,0,0,0,0
CCL,0,0,0,0,0
CDC,1,1,1,1,0
CDN,0,0,0,0,0
CEO,1,0,1,0,1
CET,0,0,0,0,0
CHP,0,0,0,0,0
CIA,0,0,0,0,0
CIG,1,1,1,0,0
CII,0,0,0,0,0
CJC,1,0,1,0,0
CKV,1,0,0,1,0
CLC,0,0,0,0,0
CLH,1,0,0,0,0
CLL,0,0,0,0,0
CLM,1,0,0,1,0
CLW,0,0,0,0,0
CMC,0,0,0,0,0
CMG,1,0,0,0,1
CMS,0,0,0,0,0
CMV,1,1,1,1,0
CMX,1,1,1,0,1
CNG,0,0,0,0,0
COM,0,0,0,0,0
CPC,0,0,0,0,0
CRC,0,1,0,0,0
CRE,0,0,0,0,0
CSC,0,0,0,0,0
CSM,1,0,1,0,1
CSV,0,0,0,0,0
CTB,1,0,1,0,0
CTD,0,0,0,0,0
CTF,1,1,1,1,1
CTG,0,0,0,0,0
CTI,0,0,0,0,0
CTP,0,0,0,0,0
CTS,0,0,0,0,0
CTT,1,0,0,1,1
CVT,0,0,0,0,0
CX8,1,0,1,1,0
D11,1,1,1,0,0
D2D,0,0,0,0,0
DAD,0,0,0,0,0
DAE,0,0,0,0,0
DAH,0,0,0,0,0
DAT,1,0,0,1,0
DBC,1,0,1,0,1
DBD,0,0,0,0,0
DC2,1,0,1,1,0
DCL,0,0,0,0,0
DCM,0,0,0,0,0
DGW,1,0,1,1,0
DHA,0,0,0,0,0
DHC,0,0,0,0,0
DHG,0,0,0,0,0
DHM,0,0,0,0,0
DHP,0,0,0,0,0
DHT,1,0,1,1,1
DIG,0,1,0,0,0
