symbol,liab_exp,wc_exp,inv_exp,recv_exp,fixed_exp,liab_exp_high,wc_exp_high,inv_exp_high,recv_exp_high,fixed_exp_high,double_exposure,physical_chain,receivable_heavy,rollover_assetlight,shock_amp_score,shock_amplifier,trade_credit_chain
AAA,0.2704357434654497,-0.3500887932806268,-0.2481878342197584,-0.2489258438494984,1.0698885310378615,1,0,0,1,1,0,0,0,0,-0.0796530498151771,0,0
AAM,-1.4699789290870978,0.510370756047525,0.6864959980102505,-0.1350522940436668,-0.4433683595355663,0,1,1,1,0,0,0,1,0,-0.9596081730395727,0,0
ACC,-0.0063290936268635,0.6586400414378432,0.9494739232496176,-0.5250558278891379,0.4586636328480558,1,1,1,0,1,1,1,0,0,0.6523109478109796,0,0
ACL,0.8685970837187357,0.7363699450282568,1.0388424316393008,-0.5345205935618001,-0.5459665421345564,1,1,1,0,0,1,1,0,1,1.6049670287469925,1,0
ADC,0.8353683200112551,-0.2456595552358637,-0.1527545453648185,-0.249286621975837,-0.4326605198782968,1,0,1,1,1,0,0,0,0,0.5897087647753913,0,0
ADS,0.6431862636360786,0.8050603339443433,0.8626291281301078,-0.3394527320543975,-0.5949700035236536,1,1,1,1,0,1,0,0,1,1.4482465975804218,1,0
AGR,-0.8839493245315804,-0.8841357064287156,-0.8917436624597703,-0.4962787321975587,-0.6269725330119517,0,0,0,0,0,0,0,0,0,-1.768085030960296,0,0
ALT,-1.4373685424903004,0.2496422508998369,0.1128447426995815,0.3784563495053255,-0.5228616353743314,0,1,1,1,0,0,0,1,0,-1.1877262915904636,0,0
AMC,-0.9182689906413444,-1.2445008639769888,-1.1125096293428466,-0.5207154685835744,-0.3959573365009284,0,0,0,0,1,0,0,0,0,-2.162769854618333,0,0
AME,-0.9798383008087606,-1.1728817536919927,-1.0356569087137608,-0.5193465797093519,-0.4880192635039123,0,0,0,0,0,0,0,0,0,-2.152720054500753,0,0
AMV,-0.5035543204057103,-0.8250181184593289,-0.7912277043613393,-0.2666781971225592,-0.6327691583277474,0,0,0,1,0,0,0,0,0,-1.3285724388650392,0,0
ANV,1.821057396940628,1.6854460509070554,2.0829161892081203,-0.1086540407521191,-0.3010242160615391,1,1,1,1,1,1,1,0,0,3.5065034478476833,1,0
APG,-0.8024919577533396,-0.6107061089523837,-0.8622916723546366,0.0906415589080016,-0.6338628330132155,0,0,0,1,0,0,0,0,0,-1.4131980667057233,0,0
API,0.9283978467040342,-0.6422274911359686,-0.8734073342148227,0.095945258715532,-0.6407314955133667,1,0,0,1,0,0,0,0,1,0.2861703555680656,0,1
APS,-0.6185620330693237,-0.6177046840892126,-0.8596397979459994,0.0549476938736065,-0.6307986908528584,0,0,0,1,0,0,0,0,0,-1.2362667171585363,0,0
ARM,-0.4298427172132734,-1.106080532328771,-1.0548218845548885,-0.3188137500614216,-0.6222815787659645,0,0,0,1,0,0,0,0,0,-1.5359232495420443,0,0
ASM,1.2272693709439462,1.7088723318421175,1.883411886511681,0.2729844626846101,-0.5975239330295827,1,1,1,1,0,1,1,1,1,2.9361417027860635,1,1
ASP,-0.0715281901489028,-0.6102729690173437,-0.7568923197368314,-0.0624366881059865,-0.6399770400779535,0,0,0,1,0,0,0,0,0,-0.6818011591662465,0,0
AST,-1.522021772754424,0.594458955495312,0.4133203752794701,0.4398032046843985,-0.6279794620110158,0,1,1,1,0,0,0,1,0,-0.9275628172591119,0,0
